State County Code,TEMP,PRESS,WIND,RH_DP,Year
01073,66.33644226530612,996.6377582011677,1.7332294900849836,63.823602744897975,2016
06019,65.71344777697259,1005.5393299813883,3.3851676171958625,56.4084356736947,2016
06027,64.04008290175136,882.1244362077853,5.704816936276542,28.48651464843253,2016
06029,66.11878857521819,971.3735273997257,4.537893671433003,52.37439511341223,2016
06037,65.65958121670889,989.971812721078,2.8626569849955863,59.84252083626123,2016
06039,64.20870628291307,1005.9261141557379,3.722726505464473,62.10557126907081,2016
06059,66.2500437532024,1000.3763081857933,2.6048542173913036,60.50514739368064,2016
06065,70.23473165608702,974.6266298968422,4.429497590849671,41.52816447964053,2016
06067,63.5926946212987,1016.137835980769,3.416646785083851,65.67023093490744,2016
06071,64.85083084535188,1087.908051882208,3.79307120024272,49.06964938844299,2016
06073,64.7486319883522,996.2472551967214,3.4394174692423096,62.715185032062315,2016
06077,63.79638202400736,1012.0089046382385,4.5231780269266455,61.6378677937853,2016
06083,60.098328196915666,1012.3316650327869,4.050156704137675,70.69248329580152,2016
06099,66.96020517241377,1011.6319734808754,3.2074157650273194,54.69910434579439,2016
06107,63.894925362662576,1002.5791446794515,3.143504346153845,55.566398786274426,2016
06111,63.12460635837884,982.4173740983609,4.199980414956679,58.12209732103828,2016
08045,48.14386881991812,829.3724712738095,3.0549555279503116,53.799322264665804,2016
08081,49.6718800758929,815.9429990710381,5.419130845360824,55.85505199999997,2016
08103,46.739633281420836,817.1448514836069,5.609709733242133,56.2840850573771,2016
09003,55.24530606967221,1014.6447134754104,2.9646607849162057,53.26562264754104,2016
09005,48.84740453551912,955.4428005081969,5.056463274924468,57.1086109497992,2016
09009,53.59874865116282,1017.492068453551,5.161234265944641,54.83931257638895,2016
11001,59.74035319914348,1012.048145657639,5.385868748633882,58.31445194664834,2016
12129,69.04919118965519,1016.5503838247125,5.424289086206898,72.6698076609196,2016
13089,64.12874316147311,988.8049561094226,0.8966148295454556,70.05854450000002,2016
13215,66.33210078688533,1002.7493290546449,1.7986587415730348,69.14173605191247,2016
13223,62.44796336885243,971.1842229781422,4.864228898907104,65.85018401912563,2016
13245,66.02748682786887,1012.9101192786885,2.1129526038251383,67.17105860928966,2016
13247,62.51805832212891,993.7311080826448,1.5107505958083836,70.0776797966574,2016
15001,61.25011947704594,879.4995446338799,7.7432449836065596,88.19608966862747,2016
16001,53.19815632967028,924.9131891414828,4.277884380494506,53.790206450549455,2016
16005,50.3010821955923,864.5170071652889,6.684114651376153,51.18267998898071,2016
16017,48.28329296721312,939.0159705956278,3.5470782896174833,68.27171904644806,2016
16049,50.815661058908006,930.1040880710375,3.3109497784615374,59.74049979606623,2016
16055,48.62626109562837,936.7913678981865,4.6007939248633845,74.86154728961752,2016
16057,48.641770382513634,923.7470706393449,4.589426792349723,71.93293801366121,2016
16059,44.49808743442623,878.5636280710385,2.6890769270386277,60.340808715847025,2016
16069,51.78866211522628,948.51760516633,4.267697488534392,54.24328046261092,2016
16079,47.93333823626374,938.5293668489004,1.863918257617728,73.46866970879114,2016
16083,50.074353576502695,882.3778818196727,7.399286573770496,62.42500577322405,2016
17023,56.00497760273971,999.9443320273973,3.8166356986301375,62.66269228767124,2016
17031,52.791015877142826,997.0144891584692,5.615783572202163,65.89516454896142,2016
17133,64.63029263453816,1003.0871492048191,5.350702257028114,77.09444041365464,2016
18019,57.21625275409835,996.460772434427,4.14766663387978,60.170515334699424,2016
18065,54.071561109289554,981.1258977103834,5.91332794459834,73.03778700000004,2016
18089,56.10168054662382,994.5318805726023,6.5579777619699025,62.719164375,2016
18097,54.4171181645244,989.4724046010926,3.8154129105409256,58.83017171765738,2016
18129,58.625696777126116,1001.714048286885,4.924836434426231,63.160904189781,2016
18173,54.38878051288057,1003.4187970632535,5.2055089320843075,62.597238283746535,2016
19045,51.88408563461532,994.1676487486347,2.594511129958959,70.67710722677599,2016
19113,52.35604118579239,988.5367786092892,3.346841908333334,56.51216038797813,2016
19137,52.867716472677586,971.6619287103833,3.399457234972678,71.78444277868849,2016
19139,53.69678010989008,996.6590681895606,2.8342203836126605,70.80535781593412,2016
19163,51.61463419843594,992.4670868943539,3.448476926549343,77.98992663085397,2016
19177,53.65641256906073,988.2450036160226,4.410526067605632,74.11636971270713,2016
21043,57.18442780601094,991.6206343688525,2.5423970655737698,61.5381184234973,2016
21061,57.89908471091442,992.186708468843,3.0059767584097843,74.60160660176993,2016
21111,59.53719660136982,1001.9777665382512,3.586765606557375,61.79034473013693,2016
22033,68.5968856655011,1010.1099261841504,3.012691038321169,70.52160435714285,2016
22047,60.5803091532258,1013.559610201613,2.9893861038251375,74.33393821774193,2016
22095,71.37253131796113,1010.3960180582533,2.3284871304347825,75.83154867391306,2016
24003,62.98415165090903,1015.2455599054543,2.7713030872727256,62.39033648727271,2016
24005,56.99859555970147,1006.2943678871264,3.59230824626865,62.484024116604516,2016
24013,54.534499475409866,989.7224201912567,4.389075142076498,63.0500296338798,2016
24015,55.02997747814209,1002.407482573769,6.0111660628415295,63.28200127868847,2016
24019,57.63736977868852,1016.4908990601092,3.15237100546448,67.99948362568303,2016
24023,48.55640986027398,928.2270713479461,4.045967397260271,71.45337209863008,2016
24025,57.93204553532182,1009.8320953971739,3.1053958477237056,65.78564349607537,2016
24027,56.60964930470909,1006.2756252548481,2.438445110803325,63.582755980609484,2016
24029,56.93522183766229,1014.2439121681409,4.918384405633807,69.32786021103892,2016
24031,55.60022218852458,1001.7683437759566,1.8357191448087415,60.54141769672129,2016
