State County Code,TEMP,WIND,Year
01073,66.33644226530612,1.7332294900849836,2016
02068,32.971833109289605,1.9391644958448748,2016
04003,61.92819384022046,5.372108082644625,2016
04005,53.06913464207649,5.1122902459016375,2016
04013,75.51199403551918,3.3516581353501427,2016
04017,56.456030456284196,7.245876505464483,2016
04019,70.12823722847781,4.691035702954046,2016
04021,73.91995822404365,6.372620677595631,2016
05119,63.93245270684931,3.8100068387978117,2016
06005,58.754070920765024,1.8692302049180312,2016
06007,65.39053915920917,3.6771502337536455,2016
06009,59.44910658469947,2.511411169398907,2016
06011,63.282385595628384,2.853088983606559,2016
06017,59.20543636229951,3.1046339179039295,2016
06019,65.71344777697259,3.3851676171958625,2016
06021,62.95976834972677,4.598544576502733,2016
06025,75.70260704553732,4.154308696783025,2016
06027,64.04008290175136,5.704816936276542,2016
06029,66.11878857521819,4.537893671433003,2016
06031,65.73455504098358,3.792214448087441,2016
06033,57.32881750363641,,2016
06037,65.65958121670889,2.8626569849955863,2016
06039,64.20870628291307,3.722726505464473,2016
06043,58.80013010188674,4.90820200968523,2016
06047,63.77180457103827,2.961502879781422,2016
06051,46.99819678005465,5.3313141413043486,2016
06053,58.24637596083787,,2016
06059,66.2500437532024,2.6048542173913036,2016
06061,67.21484987142858,3.960117346994534,2016
06065,70.23473165608702,4.429497590849671,2016
06067,63.5926946212987,3.416646785083851,2016
06069,58.802756376712345,3.9236231205479437,2016
06071,64.85083084535188,3.79307120024272,2016
06073,64.7486319883522,3.4394174692423096,2016
06077,63.79638202400736,4.5231780269266455,2016
06079,58.31718554267816,4.423383110502992,2016
06083,60.098328196915666,4.050156704137675,2016
06085,61.26709042191783,5.903308616438361,2016
06087,56.211877947873774,,2016
06089,44.52779592696624,2.087872406040269,2016
06099,66.96020517241377,3.2074157650273194,2016
06101,65.63374803717466,4.771404482758623,2016
06103,73.24909654729728,10.370266925233649,2016
06107,63.894925362662576,3.143504346153845,2016
06109,63.69986287121212,1.4147198743169398,2016
06111,63.12460635837884,4.199980414956679,2016
06113,61.880870412256265,4.648099373259054,2016
08001,53.81047516666668,3.7334140655737706,2016
08005,52.45726766256833,6.912023621584697,2016
08013,49.15003527049183,4.0847116147541,2016
08031,55.27485508305085,3.486547981557376,2016
08035,51.546656265027366,4.936770098976109,2016
08041,51.91965275956288,3.6741476885245956,2016
08045,48.14386881991812,3.0549555279503116,2016
08059,50.56284370350032,4.972532103305794,2016
08067,47.49290676320586,1.7546449013698626,2016
08069,46.36273095491802,3.081467010928962,2016
08077,55.002867120448194,4.875601601671306,2016
08081,49.6718800758929,5.419130845360824,2016
08083,51.04053310109291,5.262939792349732,2016
08085,57.28188796138997,2.412572647286822,2016
08093,37.99223103551912,,2016
08099,54.88180555737708,6.60166168032787,2016
08103,46.739633281420836,5.609709733242133,2016
08123,51.65034464480879,4.44356547540984,2016
09001,54.20358298770948,4.122217453521127,2016
09003,55.24530606967221,2.9646607849162057,2016
09005,48.84740453551912,5.056463274924468,2016
09007,55.1687851393443,4.9828168989071004,2016
09009,53.59874865116282,5.161234265944641,2016
09011,53.22795536065576,,2016
09013,51.51856540963852,2.0711352379518067,2016
10003,57.79832272950815,3.8697440383036987,2016
11001,59.74035319914348,5.385868748633882,2016
12057,70.38825044237917,3.944822978260869,2016
12086,75.28019124316936,5.608030103825133,2016
12103,70.90173941011237,,2016
12129,69.04919118965519,5.424289086206898,2016
13073,65.01836923512745,2.1004104590163943,2016
13089,64.12874316147311,0.8966148295454556,2016
13213,61.10548221038252,4.721617279005523,2016
13215,66.33210078688533,1.7986587415730348,2016
13223,62.44796336885243,4.864228898907104,2016
13245,66.02748682786887,2.1129526038251383,2016
13247,62.51805832212891,1.5107505958083836,2016
15001,61.25011947704594,7.7432449836065596,2016
15003,78.11962851886791,3.669829157024793,2016
16001,53.19815632967028,4.277884380494506,2016
16005,50.3010821955923,6.684114651376153,2016
16017,48.28329296721312,3.5470782896174833,2016
16023,46.05693204644809,5.816613947945206,2016
16049,50.815661058908006,3.3109497784615374,2016
16053,47.69281720218587,,2016
16055,48.62626109562837,4.6007939248633845,2016
16057,48.641770382513634,4.589426792349723,2016
16059,44.49808743442623,2.6890769270386277,2016
16069,51.78866211522628,4.267697488534392,2016
16079,47.93333823626374,1.863918257617728,2016
16083,50.074353576502695,7.399286573770496,2016
17019,54.09390963561644,8.443785123966931,2016
17023,56.00497760273971,3.8166356986301375,2016
17031,52.791015877142826,5.615783572202163,2016
17097,51.744738442622946,,2016
17133,64.63029263453816,5.350702257028114,2016
17163,58.777891655737754,3.720439716417915,2016
18003,53.37068126648353,3.8328737390109864,2016
18015,52.94050725683063,8.129124308743163,2016
18019,57.21625275409835,4.14766663387978,2016
18055,56.8938277404372,5.13267551639344,2016
18065,54.071561109289554,5.91332794459834,2016
18071,62.24598974007221,5.25760564480874,2016
18089,56.10168054662382,6.5579777619699025,2016
18097,54.4171181645244,3.8154129105409256,2016
18127,52.843301415512464,7.56973927839335,2016
18129,58.625696777126116,4.924836434426231,2016
18141,52.91128484065937,4.097218648351646,2016
18173,54.38878051288057,5.2055089320843075,2016
18177,53.77574930601092,4.612124330601095,2016
18183,52.57154543213292,5.315463562326867,2016
19013,50.36171350000005,3.1346769421487597,2016
19045,51.88408563461532,2.594511129958959,2016
19103,52.45046316393444,3.230701357988164,2016
19113,52.35604118579239,3.346841908333334,2016
19137,52.867716472677586,3.399457234972678,2016
19139,53.69678010989008,2.8342203836126605,2016
19147,47.79294509480124,4.69521544662921,2016
19153,54.59117366120216,3.89318654213483,2016
