State County Code,Year,RH_DP
02068,2008,69.16577128142073
04003,2008,42.46530875956283
04005,2008,39.10275448633879
04013,2008,31.242293767567553
04017,2008,39.771747349726766
04019,2008,33.931001110779924
05119,2008,53.51447607650274
06007,2008,54.32558870947178
06015,2008,76.60403288059703
06019,2008,57.356500658715575
06021,2008,54.375629128415305
06023,2008,83.22749806413992
06025,2008,41.80075343169399
06027,2008,27.205783069469803
06029,2008,50.68118771487316
06033,2008,60.59186257103812
06037,2008,59.756611370967924
06039,2008,59.45396513031164
06041,2008,84.24011209289617
06043,2008,46.444270605616595
06051,2008,24.58289420197044
06057,2008,34.42886259239132
06059,2008,59.67528889344261
06061,2008,58.026070136612006
06065,2008,52.10229695387455
06067,2008,65.74936295609749
06069,2008,56.369886606145194
06071,2008,47.013675592685395
06073,2008,61.48836117213108
06077,2008,59.7079918169399
06083,2008,64.21037784153002
06089,2008,56.94484147658405
06107,2008,57.352168539772784
06111,2008,59.954140265618875
08031,2008,43.76125204261362
08067,2008,49.37297442973525
08069,2008,48.52817993150683
08077,2008,39.62451905150215
08083,2008,40.04193132054792
09001,2008,49.34267847702407
09003,2008,48.189395382096066
09005,2008,56.983559223314586
09009,2008,28.19985999206349
12086,2008,79.97358562021861
12129,2008,78.45837995428572
13021,2008,70.17911032758617
13073,2008,69.96353918543046
13089,2008,72.3345202964482
13213,2008,71.9291299808743
13215,2008,73.43209125956284
13223,2008,70.04645259016392
13245,2008,66.19491490163932
13247,2008,74.64067675409828
15001,2008,87.86970523529402
16009,2008,74.8832806543909
16017,2008,70.88346119178087
16023,2008,52.26126785989013
16049,2008,54.83396634608206
16055,2008,76.4551429121951
16059,2008,62.409114977528105
16069,2008,52.60747886168215
16077,2008,56.448998172131155
16079,2008,69.29814048571427
17023,2008,60.813583936464084
17031,2008,76.4672751830601
17097,2008,78.74222566211604
18003,2008,70.00756757923494
18015,2008,78.09126005464482
18019,2008,63.33843077664979
18065,2008,74.17466422131149
18071,2008,68.89751585519123
18073,2008,40.566075445054956
18089,2008,56.4122608991173
18091,2008,38.365619667647074
18097,2008,69.00213319478739
18127,2008,35.76900828925618
18129,2008,62.795179913857744
18141,2008,75.53710381693993
18173,2008,54.60498779891305
19033,2008,81.96647065847
19045,2008,84.6967213251366
19113,2008,57.023371125946994
19137,2008,82.24582032240437
19147,2008,88.42691255464479
19153,2008,73.6143050928961
19163,2008,81.05860870036422
19177,2008,79.63134010655735
21013,2008,73.35326815625
21043,2008,60.26129925815214
21061,2008,67.52561354670335
21111,2008,61.887658168508295
21183,2008,56.43515887021859
21193,2008,47.91298558223685
22033,2008,73.98576722314046
22047,2008,77.66702213544671
23005,2008,72.52446846978019
23009,2008,77.99768176968502
24003,2008,60.40858208904111
24005,2008,62.77679089480867
24015,2008,57.82485265846999
24023,2008,68.43588290909094
24025,2008,60.789395854993145
24029,2008,69.37102823722627
24033,2008,62.87021569808738
24047,2008,78.56694267080746
25001,2008,69.86633548907102
25005,2008,67.75725761538456
25009,2008,71.3734102595629
25013,2008,64.82850233516481
25015,2008,69.55525956557379
25017,2008,66.71526258196727
25021,2008,79.25047540647483
25025,2008,82.35545362941188
25027,2008,67.82400697826087
26005,2008,63.90892530327866
26099,2008,72.35166212568308
26153,2008,79.83906126301365
26163,2008,64.7659451063348
27137,2008,71.90243410833331
28155,2008,79.12769681904764
29510,2008,70.38978974590172
30007,2008,53.79188256476683
30029,2008,72.87670062841529
31165,2008,61.29224330188681
32021,2008,33.86072008743172
32033,2008,39.62274512568305
33011,2008,72.47253701075265
34007,2008,60.063745739776934
34021,2008,68.32031927868859
35015,2008,45.50297849101797
35043,2008,40.12001293123206
36001,2008,63.9984294342857
36005,2008,72.58442919945362
36013,2008,75.66239190992378
36015,2008,68.885995489071
36027,2008,66.90892270218578
36029,2008,72.39699815069554
36031,2008,73.69853938571437
36033,2008,72.80778899180324
36041,2008,75.69531713934427
36043,2008,84.81053862568305
36053,2008,85.38638929508195
36055,2008,65.31680625136612
36059,2008,74.1906251666667
36063,2008,76.95130025956283
36067,2008,72.6906480327869
36079,2008,76.8194269918033
36081,2008,64.86763302898554
36083,2008,74.60459723561637
36085,2008,60.45084937978139
36093,2008,77.90779731967214
36103,2008,73.33857010928959
36111,2008,71.93313435519123
36119,2008,72.39430933606562
37011,2008,75.65351832812502
37051,2008,67.26070673716005
37067,2008,148.10975235036503
37075,2008,72.98097009230773
37081,2008,63.09602418562877
37107,2008,70.88158906249998
37119,2008,52.62860072552444
37173,2008,68.74412020597015
37183,2008,63.049823695522406
38007,2008,61.220074918032786
38013,2008,63.19461421584703
38017,2008,71.77976542896174
39009,2008,76.05806727049183
40001,2008,68.73533664387466
40015,2008,32.32021608333333
40021,2008,62.14664179351031
40071,2008,66.78097297029704
40081,2008,60.57678238795986
40097,2008,65.88810097814209
40115,2008,65.69257470491803
40135,2008,66.58325136338799
41029,2008,69.57592857103825
41035,2008,58.80584113084114
41051,2008,72.43915782872931
41061,2008,58.864011441605804
44003,2008,80.07867494565217
44007,2008,70.158001578022
46033,2008,55.69105232797424
47009,2008,71.27715801775958
47155,2008,74.71476631876145
48043,2008,38.40721567397262
48113,2008,52.07863848076927
48121,2008,53.682328572016516
48139,2008,56.056961243283574
48141,2008,33.28688669517481
48167,2008,68.17072418887018
48201,2008,62.93186573126662
48245,2008,65.82343635294121
48257,2008,58.13897663661194
48273,2008,83.97152217894737
48439,2008,53.08153915927981
49003,2008,51.40166152459019
49011,2008,55.09517203551911
49035,2008,57.05085705327862
49037,2008,37.74584687671234
