State County Code,Year,AQI
01003,2016,37.505376344086024
01027,2016,30.620689655172413
01033,2016,37.87234042553192
01049,2016,41.002873563218394
01051,2016,40.042735042735046
01055,2016,52.61931818181818
01069,2016,35.11071428571429
01073,2016,52.47540983606557
01079,2016,26.194915254237287
01089,2016,37.93471810089021
01097,2016,41.36338797814208
01101,2016,42.08815426997245
01103,2016,40.56712328767123
01113,2016,43.59143968871595
01117,2016,43.282786885245905
01119,2016,33.25
01121,2016,35.29059829059829
01125,2016,46.11780821917808
02013,2016,10.663865546218487
02020,2016,34.908587257617725
02068,2016,31.298882681564248
02090,2016,55.18306010928962
02110,2016,25.57049180327869
02122,2016,8.057377049180328
02170,2016,36.41803278688525
04001,2016,14.371584699453551
04003,2016,46.00273224043716
04005,2016,46.068306010928964
04007,2016,88.78415300546447
04012,2016,42.082191780821915
04013,2016,69.77322404371584
04015,2016,21.123249299719888
04017,2016,42.72677595628415
04019,2016,52.87431693989071
04021,2016,75.94808743169399
04023,2016,39.86776859504132
04025,2016,41.70487106017192
04027,2016,51.704918032786885
05001,2016,33.94957983193277
05003,2016,33.932203389830505
05019,2016,33.28450704225352
05035,2016,39.614754098360656
05051,2016,35.47899159663866
05067,2016,33.495652173913044
05101,2016,37.14207650273224
05113,2016,40.63661202185792
05119,2016,44.86612021857923
05139,2016,14.691256830601093
05143,2016,38.950819672131146
06001,2016,50.05191256830601
06003,2016,26.208333333333332
06005,2016,40.99180327868852
06007,2016,56.98907103825137
06009,2016,51.6448087431694
06011,2016,44.12021857923497
06013,2016,43.333333333333336
06015,2016,21.333333333333332
06017,2016,59.795081967213115
06019,2016,82.4207650273224
06021,2016,43.709944751381215
06023,2016,37.35245901639344
06025,2016,69.97540983606558
06027,2016,56.47540983606557
06029,2016,85.14480874316939
06031,2016,74.8360655737705
06033,2016,33.76438356164383
06037,2016,86.06830601092896
06039,2016,67.15300546448087
06041,2016,33.67213114754098
06043,2016,54.15573770491803
06045,2016,34.66483516483517
06047,2016,60.84426229508197
06051,2016,117.48907103825137
06053,2016,40.71857923497268
06055,2016,39.71857923497268
06057,2016,56.46448087431694
06059,2016,58.5655737704918
06061,2016,58.240437158469945
06063,2016,40.0
06065,2016,93.64480874316939
06067,2016,60.40163934426229
06069,2016,42.05464480874317
06071,2016,97.70765027322405
06073,2016,71.38524590163935
06075,2016,36.4986301369863
06077,2016,61.19398907103825
06079,2016,55.52459016393443
06081,2016,38.74520547945205
06083,2016,49.57103825136612
06085,2016,43.45628415300546
06087,2016,33.08743169398907
06089,2016,46.7896174863388
06093,2016,28.058011049723756
06095,2016,43.22950819672131
06097,2016,33.77322404371585
06099,2016,64.21311475409836
06101,2016,59.05191256830601
06103,2016,54.9207650273224
06105,2016,42.80239520958084
06107,2016,85.31147540983606
06109,2016,56.717514124293785
06111,2016,55.057377049180324
06113,2016,42.877049180327866
08001,2016,46.939890710382514
08003,2016,20.419444444444444
08005,2016,48.939890710382514
08007,2016,18.403458213256485
08013,2016,34.48529411764706
08015,2016,51.735099337748345
08019,2016,53.138263665594856
08029,2016,18.941176470588236
08031,2016,54.60928961748634
08035,2016,50.447513812154696
08041,2016,48.89890710382514
08043,2016,14.538461538461538
08045,2016,49.778688524590166
08049,2016,44.80921052631579
08051,2016,44.03825136612022
08057,2016,7.426086956521739
08059,2016,53.93715846994535
08067,2016,51.69125683060109
08069,2016,56.57103825136612
08077,2016,47.60109289617486
08081,2016,40.971014492753625
08083,2016,47.60109289617486
08085,2016,40.43873517786561
08093,2016,50.36065573770492
08097,2016,13.204918032786885
08099,2016,19.54621848739496
08101,2016,22.203125
08103,2016,43.54371584699454
08107,2016,16.511363636363637
08111,2016,7.140495867768595
08113,2016,41.46530612244898
08123,2016,48.994535519125684
09001,2016,51.98360655737705
09003,2016,44.150273224043715
09005,2016,42.69125683060109
09007,2016,51.98850574712644
09009,2016,48.30054644808743
09011,2016,36.904761904761905
09013,2016,44.38636363636363
09015,2016,37.81843575418994
10001,2016,42.0989010989011
10003,2016,49.45355191256831
10005,2016,43.42896174863388
11001,2016,49.70765027322405
12001,2016,37.62222222222222
12003,2016,35.3268156424581
12005,2016,39.03551912568306
12009,2016,39.51092896174863
12011,2016,42.36842105263158
12017,2016,34.61538461538461
12021,2016,37.41256830601093
12023,2016,39.643478260869564
12031,2016,44.15300546448088
12033,2016,41.59289617486339
12035,2016,34.81767955801105
12047,2016,34.100746268656714
12055,2016,33.97520661157025
12057,2016,47.608219178082194
12059,2016,40.595628415300546
12061,2016,37.8
12069,2016,38.33532934131737
12071,2016,38.75409836065574
12073,2016,40.742382271468145
12077,2016,33.21637426900585
12081,2016,35.64754098360656
12083,2016,39.387978142076506
12085,2016,37.870523415977964
12086,2016,46.44722222222222
12089,2016,28.916666666666668
12091,2016,35.923497267759565
12095,2016,42.08196721311475
12097,2016,35.92896174863388
12099,2016,42.58217270194986
12101,2016,38.66393442622951
12103,2016,41.486338797814206
12105,2016,40.114754098360656
12107,2016,15.013661202185792
12111,2016,36.3161094224924
12113,2016,39.0
12115,2016,41.521857923497265
12117,2016,38.0
12127,2016,39.23398328690808
12129,2016,38.54093567251462
13021,2016,43.44535519125683
13049,2016,25.700854700854702
13051,2016,39.90983606557377
13055,2016,41.743801652892564
13059,2016,40.729281767955804
13063,2016,37.239669421487605
13067,2016,45.26210826210826
13069,2016,32.46511627906977
13073,2016,40.48559670781893
13077,2016,38.532786885245905
13085,2016,42.85655737704918
13089,2016,52.35792349726776
13095,2016,39.52066115702479
13097,2016,45.583673469387755
