State County Code,Year,ALAND,AWATER,INTPTLAT,INTPTLONG
05019,2016,2243121980,43395986,34.053316,-93.176208
05021,2016,1656162400,5149783,36.367302,-90.418704
05023,2016,1434051761,99015208,35.566315,-92.059950
05025,2016,1548252554,2500346,33.893201,-92.188714
05027,2016,1984105630,1774699,33.223038,-93.232843
05029,2016,1430338369,37323940,35.265702,-92.689248
05031,2016,1831846795,14089689,35.827729,-90.631421
05033,2016,1531142472,31122293,35.583041,-94.236224
05035,2016,1580746758,67440988,35.211878,-90.315331
05037,2016,1596418388,15348632,35.285692,-90.763984
05039,2016,1728522517,1864048,33.967823,-92.653999
05041,2016,1989487282,133059776,33.828752,-91.244103
05043,2016,2145426651,18920680,33.587242,-91.722778
05045,2016,1678085355,41857091,35.146286,-92.324711
05047,2016,1576934898,27931424,35.508558,-93.887665
05049,2016,1601113474,5527446,36.383619,-91.819664
05051,2016,1755530788,147143529,34.578861,-93.146915
05053,2016,1636383570,2897719,34.285568,-92.422979
05055,2016,1496205814,4789584,36.120607,-90.566346
05057,2016,1884268834,35371745,33.728611,-93.665809
05059,2016,1593379454,18035696,34.315177,-92.944147
05061,2016,1524380233,17475724,34.083064,-93.990931
05063,2016,1978630968,19594201,35.737499,-91.559942
05065,2016,1503684817,8912603,36.094879,-91.913625
05067,2016,1641888776,19587819,35.596605,-91.223178
05069,2016,2255220501,111446634,34.277695,-91.930701
05071,2016,1709107266,59191698,35.573359,-93.466322
05073,2016,1368278119,43469501,33.240629,-93.611514
05075,2016,1521921904,12244924,36.041098,-91.101153
05077,2016,1560781751,43720910,34.779858,-90.779345
05079,2016,1454438338,27514921,33.957675,-91.727626
05081,2016,1378537696,84199003,33.699497,-94.229774
05083,2016,1834021218,60690588,35.218654,-93.720910
05085,2016,1996699203,82668369,34.755114,-91.894132
05087,2016,2160705760,7320900,36.012545,-93.724053
05089,2016,1546245372,112149493,36.266672,-92.678567
05091,2016,1620264344,31239262,33.305505,-93.901502
05093,2016,2332480068,49826367,35.766943,-90.052209
05095,2016,1572460807,36715078,34.679512,-91.203310
05097,2016,2019881728,52856416,34.545581,-93.663330
05099,2016,1600189573,7257493,33.666699,-93.305072
05101,2016,2126136208,5930334,35.910742,-93.215899
05103,2016,1897900176,18050428,33.591160,-92.878415
05105,2016,1428539951,23229535,34.946363,-92.926877
05107,2016,1801659698,82148488,34.423687,-90.855593
05109,2016,1555596259,34992296,34.158191,-93.658659
05111,2016,1964145924,13522955,35.568870,-90.681104
05113,2016,2221392380,12374241,34.490915,-94.230884
05115,2016,2104507244,47189891,35.456557,-93.026818
05117,2016,1678092312,71735056,34.831116,-91.553620
05119,2016,1964693964,127125478,34.770311,-92.312996
05121,2016,1689288539,9852832,36.341298,-91.028441
05123,2016,1644111365,20049932,35.014026,-90.742138
05125,2016,1874030024,17928133,34.648525,-92.674463
05127,2016,2311047399,14903324,34.858869,-94.063641
05129,2016,1725176987,6256693,35.896387,-92.695888
05131,2016,1377602528,39692916,35.196981,-94.274989
05133,2016,1463672049,41829039,33.994877,-94.243279
05135,2016,1565489622,5172585,36.173399,-91.471069
05137,2016,1570579422,7841929,35.857031,-92.140573
05139,2016,2691555117,41401587,33.168219,-92.598145
05141,2016,1838267642,37620449,35.582953,-92.515976
05143,2016,2439809347,26920590,35.971209,-94.218417
05145,2016,2680890163,18254982,35.255118,-91.753034
05147,2016,1519723220,18704035,35.192777,-91.244535
05149,2016,2409250093,48279611,34.997713,-93.408303
06001,2016,1914242789,212979931,37.647139,-121.912488
06003,2016,1912292633,12557304,38.621783,-119.798352
06005,2016,1539933576,29470568,38.443550,-120.653856
06007,2016,4238423343,105325812,39.665959,-121.601919
06009,2016,2641820834,43806026,38.183900,-120.561441
06011,2016,2980372757,14581043,39.177739,-122.237563
06013,2016,1871930816,209819213,37.919479,-121.951543
06015,2016,2606100217,578760364,41.749903,-123.980998
06017,2016,4423349463,203269403,38.785532,-120.534398
06019,2016,15433177265,135374444,36.761006,-119.655019
06021,2016,3403104376,33749275,39.602546,-122.401700
06023,2016,9240992572,1254297982,40.706673,-123.925818
06025,2016,10817291640,790230304,33.040814,-115.355400
06027,2016,26368508405,119088171,36.561977,-117.403927
06029,2016,21061589620,79574760,35.346629,-118.729506
06031,2016,3598583450,5468555,36.072478,-119.815530
06033,2016,3254288286,188912510,39.094802,-122.746757
06035,2016,11761603010,463438616,40.721086,-120.629952
06037,2016,10510651024,1794730436,34.196398,-118.261862
06039,2016,5535098260,41957139,37.209821,-119.749802
06041,2016,1348061297,796944835,38.051817,-122.745974
06043,2016,3752420463,36268135,37.570033,-119.912860
06045,2016,9081421729,962951511,39.432388,-123.442881
06047,2016,5012175306,112509475,37.194806,-120.722802
06049,2016,10140955630,745425201,41.592918,-120.718370
06051,2016,7896839510,214694734,37.915836,-118.875167
06053,2016,8496669426,1270747469,36.240107,-121.315572
06055,2016,1938165958,104249021,38.507100,-122.325904
06057,2016,2480606160,41513172,39.297508,-120.771343
06059,2016,2047702298,407606601,33.675687,-117.777207
06061,2016,3644333049,246486852,39.062032,-120.722718
06063,2016,6612400993,156387635,39.992295,-120.824371
