State County Code,Workers 16 years and over,Car truck or van,Car truck or van-Drove alone,Car truck or van-Carpooled,Public transportation (excluding taxicab),Walked,Bicycle,Taxicab motorcycle or other means,Worked at home,No vehicle available,1 vehicle available,2 vehicles available,3 or more vehicles available
06055,72087,84.7,72.3,12.4,2.1,3.9,1.2,0.8,7.3,2.8,15.3,35.4,46.5
06057,40111,79.3,70.9,8.4,0.8,4.1,1.5,2.8,11.3,1.0,15.9,37.9,45.2
06059,1555629,88.2,78.4,9.7,2.2,1.7,0.7,1.1,6.1,1.5,14.1,40.6,43.8
06061,172306,86.9,78.9,8.0,1.0,1.4,0.4,1.3,8.9,1.3,12.8,41.6,44.3
06065,976755,90.5,78.5,12.0,1.0,1.5,0.3,1.5,5.3,1.3,14.2,36.3,48.1
06067,675257,87.3,77.3,10.0,2.2,1.8,1.0,1.1,6.6,2.6,20.5,42.9,34.1
06071,877712,90.0,78.3,11.7,1.6,1.4,0.3,0.9,5.8,1.7,15.9,35.4,47.0
06073,1605455,84.6,75.7,8.9,2.9,3.2,0.7,1.5,7.1,2.0,18.2,41.0,38.8
06075,500469,40.3,33.7,6.7,34.3,11.1,3.9,4.0,6.4,20.6,36.9,26.6,15.9
06077,293931,91.2,76.7,14.4,1.5,1.7,0.5,0.8,4.3,2.2,15.7,36.2,45.8
06079,133597,85.3,74.8,10.4,1.0,5.0,1.8,0.9,6.1,1.3,14.2,41.4,43.1
06081,405929,79.0,69.4,9.6,11.4,2.4,1.2,1.1,5.0,2.6,17.8,38.9,40.7
06083,211202,81.8,67.1,14.6,3.6,4.1,3.9,0.9,5.7,2.2,20.4,34.3,43.2
06085,937511,84.9,74.4,10.5,4.4,2.3,1.7,1.3,5.4,2.3,16.4,39.0,42.4
06087,132813,76.9,68.3,8.6,2.6,5.7,2.7,4.2,7.8,1.5,15.7,39.4,43.3
06089,71058,88.9,83.2,5.8,0.7,3.0,0.5,1.3,5.6,1.5,18.5,41.1,38.9
06095,203069,90.8,77.1,13.7,2.6,1.4,0.3,0.9,4.0,2.7,15.6,37.2,44.4
06097,248606,86.3,75.0,11.3,1.2,2.9,1.2,1.1,7.3,1.4,14.5,41.5,42.6
06099,217657,90.4,79.6,10.8,1.0,1.8,0.7,1.0,5.1,1.7,13.7,38.9,45.7
06101,38596,92.4,78.5,13.9,0.7,1.5,0.4,0.4,4.5,0.8,17.2,44.6,37.5
06107,169790,92.1,78.8,13.3,0.9,1.2,0.5,2.5,2.9,2.7,20.2,39.2,37.9
06111,410448,90.2,77.5,12.7,1.3,1.7,0.7,1.0,5.2,1.3,13.2,38.3,47.3
06113,92696,78.4,68.7,9.7,4.6,2.6,8.0,0.5,5.9,4.0,19.9,39.7,36.4
06115,29751,90.8,80.8,10.0,0.8,1.3,0.5,1.0,5.6,4.2,12.2,40.3,43.3
08001,253868,88.4,78.0,10.4,4.1,1.6,0.2,0.8,4.9,2.7,14.3,38.8,44.2
08005,336485,86.3,76.5,9.8,3.5,2.0,0.3,1.0,6.9,2.0,18.2,43.7,36.1
08013,168216,72.4,65.2,7.2,4.6,6.1,4.2,0.6,12.1,2.2,19.4,42.9,35.5
08014,35576,84.8,79.4,5.4,2.2,1.2,0.6,1.9,9.4,1.3,14.4,47.3,37.0
08031,377214,77.6,69.7,7.9,6.3,4.5,2.2,1.3,8.2,3.9,27.7,44.2,24.2
08035,175996,83.3,76.4,6.9,2.1,1.2,0.2,1.3,11.9,0.8,12.7,48.6,37.8
08041,338256,87.8,76.5,11.3,0.5,3.6,0.4,0.8,6.9,1.5,18.6,45.3,34.7
08059,305059,84.9,77.4,7.5,3.3,1.5,0.4,1.0,8.9,1.7,15.4,43.9,39.0
08069,175334,84.0,74.5,9.5,1.7,2.5,3.2,1.1,7.7,1.1,14.3,44.1,40.5
08077,66884,86.2,78.7,7.5,0.1,4.2,2.0,1.2,6.3,1.0,21.0,38.4,39.5
08101,66806,92.9,82.0,10.9,1.5,1.4,0.3,1.2,2.8,1.6,20.6,42.5,35.2
08123,138421,90.0,81.6,8.4,0.5,1.9,0.4,1.4,5.8,1.1,14.1,38.8,46.0
09001,467797,80.2,72.3,7.9,10.2,2.7,0.2,0.8,6.0,3.4,20.4,41.4,34.8
09003,438253,89.0,80.2,8.8,3.5,2.2,0.2,0.9,4.3,3.6,22.3,40.4,33.7
09005,97057,88.1,81.7,6.4,1.4,2.5,0.2,1.4,6.4,1.4,16.2,41.1,41.3
09007,88406,87.1,81.2,6.0,2.1,2.7,0.1,1.2,6.8,1.4,16.6,38.0,43.9
09009,420509,86.7,78.0,8.6,4.3,3.2,0.7,0.7,4.6,5.0,21.9,41.0,32.1
09011,140757,88.6,79.3,9.3,1.8,2.7,0.5,1.0,5.5,2.5,18.9,40.8,37.8
09013,76194,87.1,80.9,6.2,1.5,4.1,0.1,1.6,5.6,1.6,15.0,40.6,42.8
09015,55963,90.0,80.9,9.1,0.8,3.6,0.0,0.6,4.9,3.0,22.0,40.5,34.5
10001,77379,91.6,80.3,11.3,1.4,1.7,0.5,1.1,3.8,2.9,22.1,39.8,35.3
10003,266545,89.1,80.2,8.9,3.7,2.2,0.3,0.6,4.2,2.5,22.9,43.8,30.8
10005,95329,91.3,83.8,7.4,0.9,1.1,0.1,0.7,5.9,1.7,15.1,41.6,41.6
11001,362204,38.1,33.0,5.1,36.0,13.7,4.6,1.6,6.0,25.4,43.4,23.5,7.6
12001,118260,83.2,72.5,10.6,4.3,2.5,2.0,2.0,6.0,3.6,24.8,44.1,27.5
12005,83677,92.1,82.5,9.6,1.3,1.3,0.2,1.6,3.6,1.8,23.3,46.2,28.7
12009,237410,90.4,82.8,7.6,0.4,1.0,0.7,1.4,6.1,3.0,21.7,45.6,29.7
12011,936690,89.0,79.6,9.5,2.9,1.4,0.5,1.5,4.6,2.9,24.4,44.8,27.9
12015,N,N,N,N,N,N,N,N,N,1.9,25.5,40.3,32.3
12017,43744,92.2,82.9,9.3,0.1,1.7,0.5,0.9,4.6,1.5,23.5,44.2,30.9
12019,98256,91.3,85.3,6.1,0.5,0.7,0.0,2.2,5.2,1.6,19.8,45.4,33.1
12021,151190,86.8,72.3,14.5,1.8,1.6,1.1,1.0,7.7,5.8,20.4,43.3,30.6
12023,N,N,N,N,N,N,N,N,N,1.6,23.9,52.0,22.5
12031,447807,88.1,79.8,8.4,2.5,2.6,0.8,1.1,4.9,4.1,25.4,45.1,25.4
12033,141946,84.8,73.9,10.9,0.9,2.7,0.6,1.3,9.8,1.7,25.7,46.1,26.5
12035,N,N,N,N,N,N,N,N,N,0.0,23.2,47.8,29.0
12053,65104,90.0,82.2,7.9,0.4,1.8,0.1,2.1,5.7,3.3,16.2,46.5,34.1
12055,N,N,N,N,N,N,N,N,N,2.0,31.3,45.5,21.3
12057,664120,88.3,79.2,9.2,1.6,1.6,0.7,1.2,6.7,2.8,24.1,46.3,26.8
12061,N,N,N,N,N,N,N,N,N,3.3,23.7,51.8,21.1
12069,133547,91.4,81.5,9.9,0.4,0.8,0.4,0.9,6.1,1.5,22.5,47.0,29.0
12071,296123,89.0,80.4,8.6,0.5,1.3,0.6,3.0,5.7,2.1,21.8,44.4,31.7
12073,142012,91.3,80.2,11.1,1.2,1.5,0.7,1.5,3.7,2.5,26.0,43.9,27.6
12081,154973,89.9,80.2,9.7,0.8,1.0,0.3,1.4,6.6,1.2,20.6,47.1,31.1
12083,123812,90.5,81.7,8.9,0.5,1.1,0.2,1.0,6.7,1.6,24.8,46.8,26.7
12085,65730,89.0,80.8,8.1,0.3,0.4,0.8,1.5,8.1,2.3,23.2,42.3,32.2
12086,1268406,85.3,76.2,9.0,5.3,2.1,0.5,1.3,5.5,4.3,24.4,41.0,30.3
12087,42852,73.9,67.9,6.0,2.1,4.2,7.5,5.6,6.6,5.1,31.7,41.6,21.6
12089,N,N,N,N,N,N,N,N,N,2.1,12.4,46.6,39.0
12091,95221,92.3,83.3,9.0,0.4,1.9,0.1,0.9,4.5,1.0,20.1,47.4,31.6
12095,644444,88.6,79.3,9.2,2.7,1.3,0.5,1.3,5.5,2.8,23.9,43.5,29.7
12097,153958,94.5,83.1,11.5,0.5,0.2,0.6,1.2,3.1,2.0,16.2,42.3,39.5
12099,656745,87.7,77.9,9.8,1.8,1.5,0.6,1.4,7.0,3.1,22.8,46.6,27.6
12101,201205,88.1,80.1,8.0,0.4,1.0,0.3,2.0,8.3,1.9,22.4,49.5,26.2
12103,436805,85.2,77.4,7.8,1.6,1.7,1.3,1.9,8.2,3.0,27.7,45.8,23.5
12105,270813,93.1,82.5,10.6,0.6,0.8,0.5,0.8,4.2,2.5,22.8,46.7,28.0
12107,N,N,N,N,N,N,N,N,N,1.5,25.1,46.2,27.1
12109,109712,87.2,80.7,6.5,0.1,0.7,0.8,1.7,9.5,1.1,14.2,48.2,36.5
12111,124810,89.7,77.2,12.5,0.5,0.7,0.3,4.2,4.8,2.0,25.1,43.0,29.8
12113,N,N,N,N,N,N,N,N,N,0.4,18.1,44.9,36.5
12115,161481,87.8,80.6,7.2,1.3,0.8,0.9,0.8,8.4,1.3,20.9,48.6,29.2
12117,222833,87.9,81.3,6.6,1.1,1.1,0.3,1.4,8.2,1.6,19.4,45.8,33.1
12119,N,N,N,N,N,N,N,N,N,0.7,37.0,38.5,23.9
12127,215783,88.1,80.6,7.5,1.4,1.5,0.7,1.2,7.0,2.1,22.8,45.5,29.7
12131,N,N,N,N,N,N,N,N,N,4.8,14.5,54.2,26.6
13013,34049,94.5,84.6,9.8,0.6,0.9,0.3,0.8,3.0,1.9,15.0,41.9,41.2
13015,43730,87.8,79.8,8.0,0.6,2.1,0.0,1.3,8.2,2.3,21.3,40.0,36.4
13021,59847,91.2,80.0,11.2,0.6,3.1,0.0,1.6,3.5,4.4,26.2,43.0,26.4
13031,N,N,N,N,N,N,N,N,N,1.7,23.4,36.4,38.5
13045,49198,92.2,82.3,9.9,0.1,1.1,0.0,2.3,4.3,3.3,16.9,37.7,42.1
13047,N,N,N,N,N,N,N,N,N,0.5,16.7,43.4,39.3
13051,137368,86.6,76.4,10.2,2.9,3.3,1.1,1.0,5.2,3.9,26.7,42.6,26.7
13057,121447,88.2,79.6,8.6,0.8,0.9,0.5,0.7,8.9,1.9,12.1,40.1,45.9
13059,57987,84.3,73.5,10.8,3.1,5.0,1.5,0.9,5.0,5.4,28.4,36.4,29.8
13063,124430,87.8,77.4,10.4,3.8,1.6,0.1,1.8,5.0,5.1,25.8,38.0,31.2
13067,385718,87.7,79.2,8.5,0.9,1.1,0.1,1.5,8.7,2.0,19.9,44.4,33.7
13073,N,N,N,N,N,N,N,N,N,0.6,13.8,53.8,31.8
13077,68475,92.4,82.6,9.8,0.3,0.8,0.0,1.3,5.2,1.8,15.4,39.7,43.1
13089,363612,82.9,72.1,10.8,8.1,1.6,0.4,1.2,5.8,5.2,28.7,41.8,24.3
13095,34652,91.2,81.2,10.0,0.7,2.8,0.0,1.2,4.2,7.5,26.5,40.9,25.0
13097,N,N,N,N,N,N,N,N,N,1.6,12.6,46.1,39.7
13113,N,N,N,N,N,N,N,N,N,1.4,13.3,43.2,42.2
13115,42109,91.8,82.6,9.2,1.0,1.6,0.0,0.6,5.0,1.7,18.9,40.7,38.7
13117,109767,85.8,77.3,8.4,0.1,0.9,0.4,1.3,11.5,1.0,10.8,49.8,38.5
13121,511337,78.7,71.5,7.2,7.6,2.9,0.8,2.1,7.9,5.5,29.9,43.7,20.9
13127,N,N,N,N,N,N,N,N,N,4.1,20.3,43.1,32.4
13135,447955,90.9,80.4,10.5,0.8,0.6,0.0,1.9,5.7,2.5,18.1,39.7,39.7
13139,90322,93.7,83.0,10.7,0.1,1.8,0.2,1.3,2.9,2.3,13.8,40.9,43.0
13151,102868,91.4,82.1,9.3,1.3,0.3,0.0,0.7,6.4,1.3,15.0,40.2,43.5
13153,N,N,N,N,N,N,N,N,N,1.9,17.0,50.9,30.2
13179,N,N,N,N,N,N,N,N,N,2.0,29.2,36.9,31.9
13185,49606,92.8,84.1,8.7,0.4,3.4,0.2,1.1,2.1,3.3,26.0,39.5,31.2
13215,86067,87.8,78.1,9.7,1.1,1.2,0.1,1.8,8.0,4.0,26.9,44.8,24.3
13217,N,N,N,N,N,N,N,N,N,2.3,21.2,32.8,43.7
13223,N,N,N,N,N,N,N,N,N,0.2,12.2,43.3,44.3
13245,84857,90.0,81.8,8.2,2.1,4.3,0.5,1.6,1.5,3.0,29.2,39.6,28.2
13247,N,N,N,N,N,N,N,N,N,1.6,18.5,42.1,37.8
13285,31033,91.7,80.9,10.8,0.0,1.7,0.0,4.7,1.9,4.1,21.7,35.9,38.4
13295,N,N,N,N,N,N,N,N,N,0.4,16.8,40.7,42.1
13297,N,N,N,N,N,N,N,N,N,2.3,19.2,41.1,37.4
13313,46168,95.8,84.0,11.8,0.0,0.2,0.2,2.2,1.6,1.9,17.7,41.3,39.1
15001,83896,86.6,73.9,12.7,1.8,1.8,0.3,1.2,8.2,1.3,18.6,40.2,39.8
15003,506094,77.7,63.7,14.0,8.7,5.8,0.9,2.8,4.2,4.4,22.8,34.2,38.5
15007,35120,87.6,77.8,9.7,1.1,1.6,0.5,1.3,8.0,2.2,12.2,32.6,53.0
15009,83602,89.0,75.1,14.0,2.5,2.3,0.5,0.7,5.1,1.3,16.6,38.3,43.7
16001,221182,88.9,81.1,7.8,0.3,1.2,1.9,0.7,7.1,1.4,23.6,41.9,33.1
16005,35280,89.3,79.4,9.8,0.8,2.8,2.0,1.4,3.7,2.2,16.0,39.2,42.7
