State County Code,Year,PRESS
04015,2006,856.0993788571429
06007,2006,1005.2738975095903
06011,2006,1012.3577637424659
06015,2006,1016.0681470869569
06017,2006,778.11020835461
06019,2006,1001.6053227801366
06023,2006,1219.8290489396543
06025,2006,1010.7457174273976
06027,2006,843.7228146760768
06029,2006,982.9909995703201
06031,2006,1006.5268762641766
06037,2006,643.8633920914181
06039,2006,1001.0984001945199
06051,2006,1019.9595682602743
06059,2006,29.509322530137005
06061,2006,1006.6145562931501
06065,2006,27.39804990410959
06067,2006,1014.237084061646
06071,2006,622.5323548447255
06073,2006,997.677106778083
06077,2006,1007.9166644748211
06079,2006,1009.9691248520539
06083,2006,1010.3682873969176
06099,2006,1012.6136078082194
06101,2006,1010.7678019945201
06107,2006,1002.0410475547943
06111,2006,982.7711113753426
09005,2006,962.264891564706
09007,2006,1005.7030921068496
09009,2006,1013.0961714780215
11001,2006,337.50629743478254
12103,2006,1017.7626861013696
13089,2006,984.5017292753415
13223,2006,972.4135038739724
13247,2006,992.0498531353591
15001,2006,881.0482876383546
16001,2006,924.9239354888891
16005,2006,864.0962791902443
16009,2006,921.2644931472873
16017,2006,945.5033910773482
16049,2006,930.2393071430532
16055,2006,934.432144923077
16059,2006,878.8171141589038
16069,2006,948.1402269873288
16079,2006,937.0621558826809
17023,2006,998.7934789630689
17031,2006,990.6520672027402
17197,2006,991.5208953452054
18019,2006,1000.5186156149582
18043,2006,992.3491270342461
18051,2006,1003.1656224904107
18089,2006,994.5839130845469
18097,2006,991.8044030331497
18129,2006,1001.9478276628253
18165,2006,997.7329216318676
18167,2006,996.0888942794525
18173,2006,1000.3078746639112
19017,2006,978.7187506611573
19033,2006,974.4415551357463
19045,2006,994.3419740717486
19113,2006,982.2261170095901
19137,2006,971.3727751279621
19147,2006,970.5000520961536
19163,2006,992.1311524768779
19177,2006,988.2646895286333
20091,2006,979.8046613890413
20103,2006,986.3209719249244
20107,2006,986.3777776410963
20173,2006,971.0041909945205
20191,2006,970.7947894602734
20195,2006,941.2515239285709
20209,2006,976.0935431178084
21061,2006,992.9249002794526
21111,2006,1001.8637187713492
21183,2006,1004.2297487095891
21193,2006,981.3024107260269
22033,2006,1012.5113404739004
22047,2006,1013.7925844356167
23005,2006,1008.6238794530615
24005,2006,1017.157305936986
24023,2006,926.1107735835612
25001,2006,1013.3545645000002
25005,2006,1014.9202196273966
25009,2006,1009.9809549110087
25013,2006,1006.9004069643837
25015,2006,973.5858065564742
25017,2006,1003.7953282109589
25021,2006,994.2869224657533
25025,2006,1008.97611849381
25027,2006,979.4727633636362
26005,2006,992.9784740718239
26049,2006,990.5322463731335
26065,2006,982.6853881369858
26081,2006,993.5634703232867
26091,2006,986.5823595245402
26101,2006,987.8985172837838
26113,2006,975.7793214903576
26125,2006,993.0773972602739
26153,2006,988.1770351863015
26161,2006,987.857305915068
26163,2006,933.7256856976736
29510,2006,996.7504859096218
30087,2006,896.1046247982197
33011,2006,946.9978754416667
34007,2006,1024.3670172066122
34021,2006,1021.9356246869803
35001,2006,849.8098955181914
35043,2006,830.4438247444448
36001,2006,1003.5604984602741
36005,2006,1011.0822452438352
36013,2006,985.3736042085044
36015,2006,984.7666481726034
36027,2006,1000.3170639041095
36029,2006,993.1968422863681
36031,2006,941.5814525205478
36033,2006,954.628255972603
36041,2006,953.3034357747254
36043,2006,951.8980677645432
36045,2006,1001.9674255107292
36053,2006,954.9564342136988
36055,2006,998.7143731698627
36059,2006,1011.1808968794518
36063,2006,993.3447716000004
36065,2006,996.5290377938604
36067,2006,999.5530916712335
36075,2006,1001.4521307870369
36079,2006,992.4436190712339
36081,2006,1012.3814054876708
36083,2006,959.0508448410945
36085,2006,1009.6028764403217
36093,2006,1003.383105046576
36103,2006,1011.0482356961855
36111,2006,945.3969376602746
37119,2006,991.3772502027391
38013,2006,934.5671445972602
38015,2006,947.877699542466
38017,2006,977.4239210986302
38025,2006,938.282658131507
38053,2006,945.5893149698636
38057,2006,940.5691451607139
39145,2006,1001.6339040931509
41017,2006,892.6540134876718
41025,2006,873.5760274328765
41029,2006,968.0903538876707
41033,2006,983.226697887671
41035,2006,874.6343408904113
41037,2006,853.497653383562
41051,2006,1009.9142834585626
41059,2006,978.3792386328763
41061,2006,919.1974159369859
44003,2006,1006.8112661589041
44007,2006,1010.7439879260263
47155,2006,877.327009707521
48141,2006,893.1476197768602
48201,2006,1016.7966368675853
48245,2006,1018.4151586106442
48439,2006,996.7509973260279
49003,2006,862.9069040428568
49047,2006,807.6600019747186
50003,2006,986.5453056193347
50007,2006,986.004980776099
50021,2006,994.0364504475922
51113,2006,897.3582728444443
53057,2006,990.8169669298617
55079,2006,1013.3336387828946
55089,2006,1014.8857707672136
55101,2006,1014.9060807323232
55133,2006,1012.3247757643844
56005,2006,940.7092624351982
56019,2006,866.0901589474838
56023,2006,786.7554165181266
56033,2006,884.393468765865
56035,2006,778.7611811152266
56037,2006,795.6368874899999
56045,2006,849.4799884684933
