GeoFIPS,GeoName,Region,Year,Personal income (thousands of dollars),Population (persons) 2/,Per capita personal income (dollars),Earnings by place of work,Less: Contributions for government social insurance 3/,Employee and self-employed contributions for government social insurance,Employer contributions for government social insurance,Plus: Adjustment for residence 4/,Equals: Net earnings by place of residence,"Plus: Dividends, interest, and rent 5/",Plus: Personal current transfer receipts,Wages and salaries,Supplements to wages and salaries,Employer contributions for employee pension and insurance funds 6/,Proprietors' income 7/,Farm proprietors' income,Nonfarm proprietors' income,Farm earnings,Nonfarm earnings,Private nonfarm earnings,"Forestry, fishing, and related activities",Forestry and logging,"Fishing, hunting and trapping",Support activities for agriculture and forestry,"Mining, quarrying, and oil and gas extraction",Oil and gas extraction,Mining (except oil and gas),Support activities for mining,Utilities,Construction,Construction of buildings,Heavy and civil engineering construction,Specialty trade contractors,Manufacturing,Durable goods manufacturing,Wood product manufacturing,Nonmetallic mineral product manufacturing,Primary metal manufacturing,Fabricated metal product manufacturing,Machinery manufacturing,Computer and electronic product manufacturing,"Electrical equipment, appliance, and component manufacturing","Motor vehicles, bodies and trailers, and parts manufacturing",Other transportation equipment manufacturing,Furniture and related product manufacturing,Miscellaneous manufacturing,Nondurable goods manufacturing,Food manufacturing,Beverage and tobacco product manufacturing,Textile mills,Textile product mills,Apparel manufacturing,Leather and allied product manufacturing,Paper manufacturing,Printing and related support activities,Petroleum and coal products manufacturing,Chemical manufacturing,Plastics and rubber products manufacturing,Wholesale trade,Retail trade,Motor vehicle and parts dealers,Furniture and home furnishings stores,Electronics and appliance stores,Building material and garden equipment and supplies dealers,Food and beverage stores,Health and personal care stores,Gasoline stations,Clothing and clothing accessories stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Miscellaneous store retailers,Nonstore retailers,Transportation and warehousing,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Scenic and sightseeing transportation,Support activities for transportation,Couriers and messengers,Warehousing and storage,Information,Publishing industries (except Internet),Motion picture and sound recording industries,Broadcasting (except Internet),Internet publishing and broadcasting 8/,Telecommunications,"Data processing, hosting, and related services",Other information services 8/,Finance and insurance,Monetary Authorities-central bank,Credit intermediation and related activities,"Securities, commodity contracts, and other financial investments and related activities",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Real estate and rental and leasing,Real estate,Rental and leasing services,Lessors of nonfinancial intangible assets (except copyrighted works),"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,Administrative and support services,Waste management and remediation services,Educational services,Health care and social assistance,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Arts, entertainment, and recreation","Performing arts, spectator sports, and related industries","Museums, historical sites, and similar institutions","Amusement, gambling, and recreation industries",Accommodation and food services,Accommodation,Food services and drinking places,Other services (except government and government enterprises),Repair and maintenance,Personal and laundry services,"Religious, grantmaking, civic, professional, and similar organizations",Private households,Government and government enterprises,Federal civilian,Military,State and local,State government,Local government
00000,United States,,2016,15912777000,323127513,49246,11304772000,1243372000,660739000,582633000,3264000,10064664000,3079782000,2768331000,8079770000,1886437000,1303804000,1338565000,39821000,1298744000,69220000,11235552000,9352087000,35391000,7144000,2667000,25580000,128344000,82658000,18822000,26864000,88565000,680277000,182826000,87964000,409487000,1059242000,678728000,22935000,28386000,30672000,99631000,93747000,141012000,34827000,73793000,76668000,22609000,54448000,380514000,94204000,19806000,6495000,6090000,6971000,1652000,32144000,27045000,27323000,112581000,46203000,561313000,675342000,132240000,22880000,29363000,54834000,106159000,52810000,37027000,41374000,18822000,92808000,38387000,48638000,410482000,53561000,23393000,7189000,126674000,29925000,30218000,1707000,51912000,37435000,48468000,385391000,93733000,37954000,78186000,(NA),86730000,39003000,49785000,745487000,2533000,250639000,216822000,267838000,7655000,271667000,217169000,51701000,2797000,1157722000,297825000,459373000,429994000,29379000,191848000,1265484000,614743000,395994000,132352000,122395000,132974000,74810000,6784000,51380000,387789000,85191000,302598000,417571000,118448000,124423000,154582000,20118000,1883465000,324012000,131322000,1428131000,404364000,1023767000
01000,Alabama state total,5,2016,189161974,4863300,38896,125150213,14858297,8207185,6651112,2337778,112629694,32582897,43949383,90592415,22316878,15665766,12240920,781801,11459119,952653,124197560,97966706,574837,241565,-467,333739,443237,81998,229031,132208,1981397,7453781,2070467,1368903,4014411,18016738,12210423,869014,448428,1533430,1612187,701568,695946,398147,2999836,2004430,475018,472419,5806315,1353690,189514,277312,167624,101816,3270,1052698,167656,360578,1118545,1013612,5881981,8310892,1833057,243371,318165,800055,938244,814798,566697,373341,253171,1636377,334127,199489,3968851,60578,366450,77241,1868725,78402,83103,4835,534468,306693,588356,1493764,319115,51186,235513,(NA),769677,81575,36698,6505291,(D),2973768,685067,2828503,(D),1814910,1397517,405358,12035,10299793,1694792,4409786,4132321,277465,1115879,14366535,8474513,3642983,1448864,800175,521568,181346,40597,299625,3846431,501842,3344589,5266243,1579994,1345967,2189270,151012,26230854,6164295,1729884,18336675,6632380,11704295
01001,"Autauga, AL",5,2016,2201206,55416,39721,648669,81009,49089,31920,852534,1420194,322840,458172,443226,111094,79174,94349,2021,92328,3601,645068,521859,7163,3910,(L),3259,4459,(L),4407,(L),15201,48983,10275,8878,29830,118830,42362,(D),(D),(L),8830,0,(L),(L),(D),(D),(D),1597,76468,(D),(L),(L),(D),(L),(L),(D),435,396,(D),(D),40957,52767,11227,785,4735,2832,3902,6301,3115,1556,1278,13575,2303,1158,12458,(L),2625,(L),5642,326,(L),(L),3739,(D),(D),3063,541,(L),(D),(NA),(D),(D),(L),17698,0,10853,(D),(D),56,10514,8280,2181,53,18772,(D),(D),8334,(D),7251,65402,29023,(D),12261,(D),4879,(D),(L),(D),34587,2779,31808,43358,8395,11034,22789,1140,123209,6404,8610,108195,12450,95745
01003,"Baldwin, AL",5,2016,8610692,208563,41286,3827243,473236,276033,197203,1713723,5067730,1684738,1858224,2670532,618262,421059,538449,-1134,539583,9206,3818037,3268062,12020,(D),(D),11348,8199,(D),1877,(D),30220,359523,110749,46011,202763,252033,201994,19431,9891,1097,20373,28474,(D),(D),872,(D),32240,29970,50039,11207,(D),52,6499,(D),(L),15996,4028,567,5876,3740,180715,490998,103744,19652,13796,47674,59059,35664,34646,44018,16448,89154,20062,7081,96458,(D),2307,778,27707,1002,55,2401,29860,(D),22914,20283,2350,2610,4448,(NA),7453,2169,1253,142548,0,65476,(D),55800,(D),134515,114111,(D),(D),196570,23876,133523,128630,4893,61639,497166,281727,(D),60153,(D),42990,(D),(D),20552,354138,76961,277177,230648,66851,63590,92635,7572,549975,30097,29827,490051,64645,425406
01005,"Barbour, AL",5,2016,825374,25965,31788,450305,53960,31476,22484,27345,423690,128167,273517,301698,83620,61136,64987,28356,36631,31220,419085,331295,8819,(D),(L),(D),12696,63,12494,139,(D),13642,1806,6332,5504,112141,58117,13660,(D),(D),(D),(D),(D),(D),(L),(L),(D),(D),54024,(D),86,(L),50,(L),(L),70,(D),(D),78,(D),(D),35902,6271,578,(D),4331,5111,2882,4142,858,(D),8580,738,1735,31550,(L),174,0,30082,(L),(L),(L),(D),53,(D),1736,(D),(L),(L),(NA),(D),(D),(L),11302,0,7704,(D),(D),(L),2978,2453,511,(L),(D),(D),6276,6276,0,(D),(D),17141,(D),(D),767,773,228,(D),(D),11095,1217,9878,23550,7696,6288,9183,383,87790,4547,3731,79512,34790,44722
01007,"Bibb, AL",5,2016,662619,22643,29264,254281,34235,20853,13382,166187,386233,70950,205436,183215,48169,34787,22897,1760,21137,1874,252407,183321,(D),4432,(L),(D),(D),(L),(D),(L),(D),69848,(D),(D),8361,19473,19199,14294,(D),(D),1786,0,(L),0,(L),(L),(D),(D),274,(L),(L),(L),(L),(L),(L),(L),(L),95,(L),(L),8977,15618,1115,(D),(D),952,2400,2719,1809,(D),(D),5455,(D),(D),(D),(L),(L),(L),6043,(L),(L),(L),(D),(L),(L),(D),(D),(L),(L),(NA),(D),(L),(L),4122,0,2534,(L),1589,(L),781,(D),(D),(L),3396,(D),(D),1099,(D),(D),(D),13754,307,3134,(D),300,(D),0,(D),5616,(D),(D),(D),4837,3785,(D),(L),69086,6963,2709,59414,14554,44860
01009,"Blount, AL",5,2016,1815973,57704,31470,497646,67093,43984,23109,687309,1117862,220041,478070,315962,83947,60838,97737,12536,85201,15965,481681,374675,(D),(D),(L),(D),(D),(L),(D),69,(D),56653,14488,10075,32090,58536,25256,(D),(D),(D),13179,1507,(D),(D),460,(L),928,(D),33280,(D),50,(L),(L),(D),(L),(L),(D),166,(D),66,25279,40861,8473,(D),1258,4144,3908,4707,4600,623,(D),10706,914,966,(D),(L),980,(L),13835,153,69,(L),2797,(D),(D),6249,1812,(L),(D),(NA),(D),(L),(D),13956,0,9414,(D),4442,(D),3668,2920,724,(L),16834,2729,13800,12625,1175,(D),(D),22753,(D),10912,2752,2569,(D),(L),(D),11831,(D),(D),48760,12587,12491,22485,1197,107006,7412,7602,91992,8660,83332
01011,"Bullock, AL",5,2016,276257,10362,26661,143461,16878,9536,7342,18107,144690,40867,90700,97360,29317,21975,16784,10441,6343,15090,128371,91429,(D),2322,(L),(D),(L),(L),(L),(L),(D),(D),(D),(D),(D),31709,(D),(L),(L),(L),(D),0,(L),0,(L),(L),(L),(L),(D),(D),(D),(L),(L),(L),(L),(L),(L),(L),(D),(L),(D),5045,(D),(D),(L),(D),(D),1208,1068,(L),(L),(D),(D),(D),(D),(L),1138,0,(D),(L),(L),0,(L),(L),(L),(D),(D),(L),(L),(NA),(D),(L),(L),1985,0,(D),(L),(D),(L),396,437,(L),(L),(D),0,(D),(D),(D),(L),18492,4278,(D),(D),431,(D),72,0,(D),(D),(D),1034,(D),(D),(D),(D),144,36942,2919,1157,32866,15239,17627
01013,"Butler, AL",5,2016,673803,19998,33694,351710,44181,25328,18853,51994,359523,99283,214997,251575,66537,47684,33598,9793,23805,11559,340151,289712,9844,7241,(L),2617,51,(L),-54,73,7842,19568,(D),(D),8142,73928,73182,(D),(D),(D),579,0,(D),(D),(D),(L),(L),(D),746,56,(L),(L),(L),(L),(L),(D),(D),(D),(L),(D),9008,28182,3819,1491,1200,2170,(D),3149,2026,807,(D),8417,876,888,25238,(L),(L),(L),24471,(L),(L),(L),616,(L),(L),2974,(D),(D),(D),(NA),(D),(L),(L),7325,0,4635,(D),(D),(L),2117,1471,639,(L),(D),(D),13311,(D),(D),3383,46128,18755,(D),8487,(D),1928,106,0,1822,13931,1821,12110,16492,3041,3713,7914,1824,50439,2934,2612,44893,6065,38828
01015,"Calhoun, AL",5,2016,3942713,114611,34401,2484920,299849,166647,133202,-117936,2067135,711332,1164246,1773853,514167,380965,196900,11243,185657,14917,2470003,1650669,(D),2815,(L),(D),(D),53,(D),118,32527,77950,23003,9654,45293,375170,315257,16120,7527,63117,78055,2122,(D),(D),82827,53948,4247,6051,59913,8266,(D),(L),(D),(D),(L),9889,(D),(D),12811,20282,107481,200225,45660,5319,5363,20830,20063,17808,14872,6828,4202,47604,6461,5215,57492,(L),184,(L),35740,(D),(D),(L),6772,(D),3297,33390,6420,(D),2279,(NA),23599,(D),(D),63007,0,40928,(D),15948,(D),22290,14695,7510,85,79595,4560,102139,96028,6111,15031,269036,188319,(D),28919,(D),4115,(D),(L),(D),94877,7700,87177,106076,31701,24558,46688,3129,819334,345742,24961,448631,110654,337977
01017,"Chambers, AL",5,2016,1080439,33843,31925,427598,57668,34897,22771,210695,580625,144681,355133,314352,83803,61032,29443,12518,16925,13985,413613,315775,(D),9973,(L),(D),(D),(L),(D),(L),7503,15144,2313,2323,10508,119163,84519,7074,(D),(L),4506,(D),(L),(L),(D),(D),(L),(L),34644,(L),(D),(L),(D),(L),(L),(D),(D),68,(D),(D),3896,32875,7310,1146,(D),1013,4349,3481,3172,469,(D),9521,754,664,11861,(L),(L),(L),5926,(L),(L),(L),(D),(L),(D),3435,(D),(L),(L),(NA),(D),(L),(L),7756,0,5528,(L),2234,(L),1852,1416,431,(L),10080,1329,20639,20639,0,(D),(D),16901,669,9770,(D),(D),90,0,(D),(D),(D),13069,19485,2786,2143,(D),(D),97838,3919,4435,89484,7474,82010
01019,"Cherokee, AL",5,2016,850398,25725,33057,287329,38352,24588,13764,205791,454768,122712,272918,184941,52418,38654,49970,12217,37753,16734,270595,203618,6608,(D),-57,(D),61,(L),-65,87,(D),12227,3038,1585,7604,51856,26487,580,(D),(L),(D),(D),(L),(L),24045,(L),(L),(D),25369,59,(L),(D),(D),(D),(L),(L),(D),220,(D),(D),8804,33233,3307,91,(D),2343,3128,4300,6255,2614,427,8356,(D),1555,(D),(L),591,(L),7624,111,50,(L),(D),(L),(D),1407,(D),(L),(D),(NA),(D),(D),(L),6583,0,3512,(D),(D),(L),3265,(D),(D),(L),(D),(D),7287,(D),(D),(D),(D),11706,(D),(D),1532,985,1444,(D),(D),6050,162,5888,17524,3329,3943,(D),(D),66977,3424,3379,60174,5452,54722
01021,"Chilton, AL",5,2016,1407904,43941,32041,516782,67580,41039,26541,392157,841359,173095,393450,359959,95037,68496,61786,-1956,63742,82,516700,420330,(D),6836,(L),(D),(D),(L),(D),73,12534,54927,9428,7921,37578,113051,95161,25802,4652,(D),11899,1848,-56,(L),(D),(L),1497,(D),17890,(D),(D),(D),(L),(L),(L),(D),(D),178,(L),(D),24144,51016,13416,985,(D),3192,6683,3938,7010,596,(D),10263,2477,1557,19425,(D),302,(L),14979,109,(D),(L),(D),(D),52,3717,(D),(L),(L),(NA),(D),(L),(L),13703,0,7954,(D),5196,(D),3940,3205,710,(L),(D),(D),7677,(D),(D),(D),(D),28426,(D),6550,1820,(D),(L),0,(D),(D),(D),15082,39342,10212,9260,(D),(D),96370,4347,6535,85488,14336,71152
01023,"Choctaw, AL",5,2016,414810,12993,31926,249004,31353,19457,11896,-27683,189968,58054,166788,173072,39794,27898,36138,2245,33893,2349,246655,221938,13829,(D),(L),(D),414,(L),(L),417,1679,(D),(D),1609,13672,(D),(D),(D),(L),(L),(L),0,(L),0,(L),(L),(L),(L),94453,(L),(L),(L),(L),(L),(L),(D),(D),(D),(L),(L),3788,18321,2952,(D),(D),(D),3926,(D),4679,438,(D),870,665,(D),10102,(L),1176,0,8071,(L),(L),0,(D),(L),(D),1011,(D),(L),(L),(NA),(D),(L),(D),4376,0,2756,(L),1620,(L),1034,(D),(D),(L),3908,(D),(D),(D),0,(D),(D),10234,(D),(D),471,(D),(L),0,(D),(D),(D),1829,10392,2592,2098,5202,500,24717,1584,1710,21423,3493,17930
01025,"Clarke, AL",5,2016,807275,24392,33096,473446,58625,34894,23731,11071,425892,118652,262731,333011,85136,61405,55299,3255,52044,3469,469977,371357,21035,15851,-67,5251,2358,(L),(D),(D),7045,19134,8982,(D),(D),122915,66587,61897,(D),(D),2632,0,0,0,(D),0,(D),0,56328,(L),0,0,(D),0,0,(D),0,(D),(L),(L),8363,44261,9566,590,(D),3045,3751,4395,3412,1214,(D),14958,639,2025,15887,(L),2282,(L),9450,58,(L),(L),(D),(D),(L),2516,864,(L),(D),(NA),(D),(L),(L),22398,0,15551,700,6108,(L),4825,2571,2232,(L),(D),(D),6701,5271,1430,(D),(D),20887,(D),4037,3063,239,279,(L),(L),12235,1503,10732,24455,6752,6389,9737,1577,98620,6533,3203,88884,22219,66665
01027,"Clay, AL",5,2016,451335,13492,33452,207655,25914,15686,10228,66156,247897,64545,138893,138041,38668,28440,30946,8992,21954,9587,198068,152495,3774,(D),(L),(D),-105,(L),-216,97,(D),7824,1938,1419,4467,84138,64906,566,(D),(L),(D),(L),(L),(L),(L),(L),62986,(D),19232,(D),(L),(L),(L),(D),(L),(L),(L),(L),(L),(D),(D),10051,1804,(D),(D),777,2360,1829,1272,(D),131,(D),(D),(D),4740,(L),(L),(L),(D),(L),(L),(L),620,(D),-87,704,(D),(L),(D),(NA),(D),(L),(L),5555,0,3604,(L),1952,(L),794,(D),(D),(L),2078,(D),(D),(D),0,(D),(D),5429,665,(D),965,(D),(D),0,(D),(D),(L),(D),9598,1690,2589,(D),(D),45573,4126,1758,39689,2836,36853
01029,"Cleburne, AL",5,2016,476336,14924,31917,171479,21233,13443,7790,129058,279304,55325,141707,108888,28168,20378,34423,12289,22134,14379,157100,115436,2345,(D),(L),(D),(L),(L),(L),(L),(D),47096,(D),(D),5374,20459,19192,(D),(D),(D),(D),(D),(L),(L),(L),(L),(L),(D),1267,(D),(D),(L),(L),(D),(L),(L),(L),97,(D),(L),2321,13354,5621,(L),(L),854,1819,(D),1937,94,(D),800,501,749,(D),(L),753,(L),(D),74,(L),(L),958,(L),(L),(D),(D),(L),(L),(NA),(D),(L),(L),2880,0,2050,(L),831,(L),733,(D),(D),(L),1431,(D),1270,1270,0,53,3463,(D),355,(L),(D),(L),(L),0,0,2591,(D),(D),10305,2589,(D),(D),115,41664,3401,1958,36305,5375,30930
01031,"Coffee, AL",5,2016,2045097,51226,39923,854685,98411,56494,41917,429435,1185709,378298,481090,556955,146300,104383,151430,50744,100686,55840,798845,651897,(D),(D),-73,23926,(D),(L),(D),149,7941,28116,6386,4236,17494,145304,45378,(D),(D),(D),6472,(D),(D),(D),(D),(D),(D),(D),99926,69209,(L),(L),(D),(D),(L),(L),244,104,(D),21702,20228,87899,27254,2194,2941,10229,7882,7236,6420,2336,(D),16144,3384,(D),11899,(D),(L),(L),7175,(D),(L),(L),(D),(D),-130,3647,1102,(D),(D),(NA),2072,(D),(L),24589,0,14541,1383,8621,(L),7934,6428,1488,(L),(D),(D),22861,(D),(D),6862,97161,48391,(D),18487,(D),2458,(D),0,(D),29030,2730,26300,50055,13326,12233,20912,3584,146948,19986,6726,120236,24542,95694
01033,"Colbert, AL",5,2016,1974679,54216,36422,1501026,185012,101401,83611,-205575,1110439,294026,570214,1097147,289181,205570,114698,-1679,116377,622,1500404,1184156,2192,(D),(L),(D),9196,152,(D),(D),(D),120668,25829,34879,59960,439426,326761,24753,2363,(D),20889,17332,(D),(D),(D),63478,2149,4617,112665,3815,(L),(D),(D),0,(L),(D),1164,(D),18375,30797,62357,121286,34802,1162,4545,10622,10881,10795,11007,3427,5344,14974,4097,9630,(D),(D),30360,(L),14673,(D),(D),(L),5557,8566,(D),7573,(D),(D),(D),(NA),(D),58,85,47030,0,34257,(D),(D),(L),10062,6456,3553,53,23316,5445,50670,(D),(D),1932,123751,85730,(D),14147,(D),3794,(D),(D),3211,30913,1699,29214,59662,18064,16307,24916,375,316248,95143,7140,213965,36221,177744
01035,"Conecuh, AL",5,2016,376182,12395,30349,189613,24226,14590,9636,1937,167324,56220,152638,129251,36419,26783,23943,12889,11054,13369,176244,136914,(D),9210,(L),(D),(D),(D),(L),(L),1116,3536,(D),(D),2458,25381,17322,(D),(D),(L),(D),0,0,0,11390,0,0,(D),8059,(D),0,0,(D),(D),0,(L),0,(D),(D),(D),11200,7524,509,(D),(L),225,(D),1221,2868,(L),(L),633,(D),(L),33865,(L),626,(L),(D),(L),(D),(L),499,(D),(L),806,(D),(L),(D),(NA),(D),(L),(L),2277,0,(D),(L),(D),(L),(D),(D),(L),(L),1606,(L),4041,4041,0,(D),(D),7253,(D),(D),(D),(D),(D),0,(D),(D),(D),4900,9352,2158,2248,(D),(D),39330,1879,1640,35811,11361,24450
01037,"Coosa, AL",5,2016,309773,10581,29276,80194,12040,7911,4129,92191,160345,45842,103586,55150,15595,11466,9449,364,9085,612,79582,62805,2615,(D),(L),(D),(L),(L),(L),62,(D),2285,(D),(D),1172,31224,30772,(D),(L),(L),614,0,(D),(D),(D),(L),(D),(L),452,63,(L),(L),(L),(L),(L),(L),(L),146,(L),58,3173,2521,133,(D),(L),289,(D),(D),805,(L),(L),(D),(L),(L),(D),(L),(L),0,587,(L),(D),(L),104,(L),(L),(D),(D),(L),(L),(NA),(L),(L),(L),(D),0,(D),(L),(D),(L),(D),(D),94,(L),2086,(D),(D),(D),0,80,(D),(D),109,(D),(D),(D),215,(L),(D),(D),(L),(D),6702,1293,(D),(D),0,16777,1217,1371,14189,(D),(D)
01039,"Covington, AL",5,2016,1211378,37458,32340,655895,82076,47322,34754,55646,629465,179225,402688,452679,127646,92892,75570,21166,54404,24341,631554,519746,(D),(D),0,4206,(D),(L),(D),(D),66322,33493,8343,12220,12930,99741,27028,(D),1191,(L),2131,(D),(L),(L),9392,(D),312,(D),72713,1005,(L),(D),(L),(D),(D),(D),(D),(L),(D),(D),27105,63189,11993,1546,1214,7376,7695,8134,6400,1008,450,12476,1382,3515,12733,(D),1253,(L),8573,(L),(L),(L),2342,(D),-126,4531,(D),(D),322,(NA),3400,(L),(L),22405,0,16083,(D),(D),(D),8108,(D),2032,(D),(D),(D),23204,17888,5316,(D),(D),38078,(D),14815,3575,1373,(D),0,(D),16603,1462,15141,34339,6774,11318,15181,1066,111808,9611,4899,97298,22902,74396
01041,"Crenshaw, AL",5,2016,468647,13913,33684,240935,27406,16376,11030,46387,259916,60849,147882,148321,39833,28803,52781,30078,22703,31131,209804,177460,6978,(D),(L),(D),(L),(L),-87,(L),(D),9767,3785,(D),(D),58237,(D),(D),0,(L),(D),(L),(L),(L),48625,(L),(D),(L),(D),(D),(L),(L),(L),0,(L),(L),0,(L),(L),(L),18762,7738,563,(L),(D),(D),1905,2077,869,(D),(L),838,(D),(D),(D),(L),(L),(L),8193,(L),(L),(L),(D),(L),(L),836,(L),(L),(D),(NA),(D),(L),(L),5900,0,4528,(L),1372,(L),560,(D),(D),(L),2415,(L),1359,(D),(D),(D),(D),3103,(D),(D),657,(D),(L),0,(D),(D),(D),4375,29845,17234,6442,(D),(D),32344,2547,1832,27965,2809,25156
01043,"Cullman, AL",5,2016,2994954,82471,36315,1670199,200767,116442,84325,310263,1779695,424453,790806,1150253,281914,197589,238032,50561,187471,57000,1613199,1384538,(D),(D),(L),7849,(D),(L),(D),(D),13426,117475,31428,26374,59673,353280,200775,23169,738,(D),51175,13726,(D),(D),69132,(L),13300,(D),152505,20487,(D),(L),(D),(D),(L),33140,2538,12074,3512,73048,62040,141453,36256,2265,3725,14469,10517,15457,13205,2605,3769,29414,4468,5303,140297,(L),6735,(L),83074,(D),117,(L),4765,1493,(D),10224,(D),(D),387,(NA),6571,(L),(D),49136,0,34204,3856,11028,(L),25953,20396,(D),(D),45544,27137,40507,39013,1494,2317,210022,116455,(D),27612,(D),7514,(D),(D),6704,49022,2872,46150,78895,26869,17615,32858,1553,228661,16704,10825,201132,41430,159702
01045,"Dale, AL",5,2016,1706837,49226,34673,1725766,200749,94414,106335,-603281,921736,313065,472036,1246102,407899,301564,71765,21302,50463,22732,1703034,864575,(D),2389,0,(D),(D),(L),(D),(L),8347,53564,13099,26066,14399,395399,335312,75,(D),(L),(D),8015,(D),(L),1596,(D),1787,(D),60087,(D),(D),(L),(D),(L),(L),(D),(D),112,4515,(D),8030,36109,8821,375,488,2461,2902,2951,5250,778,(D),10377,1156,(D),56565,(D),(L),(D),9161,(D),(L),(L),46013,(L),(L),1908,243,(L),(L),(NA),(D),(D),(L),15543,0,12101,(D),3099,(D),9779,8656,1106,(L),48807,21983,26351,(D),(D),70462,46329,20789,1648,14730,9162,351,(L),0,345,25700,4926,20774,35542,5421,9794,19410,917,838459,296346,440374,101739,9816,91923
01047,"Dallas, AL",5,2016,1343382,40008,33578,735171,91840,52718,39122,-9149,634182,195293,513907,506195,133397,94275,95579,33751,61828,39191,695980,560732,(D),(D),(L),(D),(D),148,(D),331,6878,30805,4878,3832,22095,187183,77008,14089,8048,(D),(D),(D),(L),(D),(D),(L),(D),(D),110175,7734,274,125,(D),(D),109,(D),(D),796,180,313,14993,56091,10216,1080,1254,5193,7236,6495,7049,1567,726,13144,817,1314,23107,(L),14896,(L),6068,(D),(L),(L),(D),135,(D),5298,(D),(D),(D),(NA),3147,(L),(L),15439,0,9288,1081,5050,(L),7739,5851,1860,(L),13123,4600,19929,19729,200,6795,100779,43091,(D),20172,(D),1770,(L),(D),(D),15298,1702,13596,42272,9201,15365,16155,1551,135248,14201,5200,115847,31641,84206
01049,"DeKalb, AL",5,2016,2099352,70900,29610,1118945,139429,80696,58733,187936,1167452,298425,633475,782946,207231,148498,128768,23947,104821,32492,1086453,909190,(D),(D),(L),12005,(D),(L),(D),(L),(D),62869,(D),(D),40274,328519,229382,4998,1163,(D),76908,32406,(D),(D),73066,64,2917,(D),99137,(D),(L),6098,(D),33443,614,(D),1396,(D),(D),(D),(D),86455,16114,4725,(D),10836,8771,13365,9459,1136,(D),13711,1908,4086,56823,(L),2182,(L),23521,182,82,(L),3635,(D),(D),12206,(D),349,(D),(NA),(D),55,(D),23038,0,15650,950,6374,64,3556,4003,696,-1143,23480,2122,27518,26627,891,3059,118511,56655,(D),28696,(D),1011,(D),0,(D),36506,6934,29572,58819,15342,14289,28346,842,177263,12375,9314,155574,28246,127328
01051,"Elmore, AL",5,2016,3208675,81799,39226,1058122,132670,78263,54407,1078839,2004291,498080,706304,728876,197269,142862,131977,-1877,133854,239,1057883,806031,(D),6122,-80,(D),(D),(L),(D),(L),13385,83540,18370,11146,54024,173085,162091,2471,2304,(D),16483,(D),(D),(D),-187,55220,(D),4337,10994,318,(L),(D),(D),(D),(L),(L),1484,117,(D),(D),13922,115140,20766,2349,3335,16099,11477,9590,6407,958,6126,33105,2261,2667,17182,(D),(L),(L),9746,136,(D),(L),5319,(D),(D),8652,1623,(D),(D),(NA),5655,69,101,30256,0,21788,(D),(D),79,16343,12953,3310,80,43005,3886,23392,(D),(D),16668,101841,38749,(D),22341,(D),6089,(D),(D),5352,52419,6577,45842,68672,17936,17687,31751,1298,251852,11681,10151,230020,68175,161845
01053,"Escambia, AL",5,2016,1176126,37728,31174,719100,89071,50837,38234,-27085,602944,191780,381402,526250,141381,103147,51469,4420,47049,5805,713295,491995,10405,7480,(L),2964,19541,(D),(D),11108,8273,40379,16397,3443,20539,138734,68108,25762,1575,(D),3710,(D),(L),(L),(D),(D),417,(D),70626,694,253,(D),(D),(L),101,(D),(D),(D),(D),248,24466,55057,10441,1497,1277,5162,4157,6172,5629,903,(D),14553,3971,(D),26949,(L),5320,(L),12573,(L),(D),(L),(D),(D),198,3391,688,(L),209,(NA),(D),(L),(D),25054,0,17307,2487,5223,(L),2885,1816,(D),(D),10338,3521,11793,9355,2438,1852,63063,26952,(D),9021,(D),2110,(L),0,2098,19504,2143,17361,24680,4340,5176,14209,955,221300,5116,4576,211608,37136,174472
01055,"Etowah, AL",5,2016,3582781,102564,34932,1933979,245223,142124,103099,266814,1955570,529860,1097351,1382018,343473,240374,208488,3286,205202,4279,1929700,1635357,2325,(D),(L),(D),2651,(L),2459,167,18409,100353,18923,25143,56287,307315,93114,637,(D),6849,34784,12181,(D),-72,35677,-66,1922,(D),214201,54955,(D),(L),(D),(L),(D),(L),310,(D),(D),155226,59271,163740,36245,3575,4415,13089,20224,20524,11327,5950,6471,32471,5103,4346,66402,(L),3452,(L),37398,(D),98,(L),(D),7842,9323,18655,3083,(D),1326,(NA),12836,(L),(D),70658,0,35407,(D),25256,(D),27184,20010,7033,141,51237,6391,106570,102904,3666,5830,440992,228983,144315,50813,16881,7720,(D),(D),5741,75904,6162,69742,103750,28783,31439,41530,1998,294343,28267,13350,252726,47741,204985
