GeoFIPS,GeoName,Region,Year,Personal income (thousands of dollars),Population (persons) 2/,Per capita personal income (dollars),Earnings by place of work,Less: Contributions for government social insurance 3/,Employee and self-employed contributions for government social insurance,Employer contributions for government social insurance,Plus: Adjustment for residence 4/,Equals: Net earnings by place of residence,"Plus: Dividends, interest, and rent 5/",Plus: Personal current transfer receipts,Wages and salaries,Supplements to wages and salaries,Employer contributions for employee pension and insurance funds 6/,Proprietors' income 7/,Farm proprietors' income,Nonfarm proprietors' income,Farm earnings,Nonfarm earnings,Private nonfarm earnings,"Forestry, fishing, and related activities",Forestry and logging,"Fishing, hunting and trapping",Support activities for agriculture and forestry,"Mining, quarrying, and oil and gas extraction",Oil and gas extraction,Mining (except oil and gas),Support activities for mining,Utilities,Construction,Construction of buildings,Heavy and civil engineering construction,Specialty trade contractors,Manufacturing,Durable goods manufacturing,Wood product manufacturing,Nonmetallic mineral product manufacturing,Primary metal manufacturing,Fabricated metal product manufacturing,Machinery manufacturing,Computer and electronic product manufacturing,"Electrical equipment, appliance, and component manufacturing","Motor vehicles, bodies and trailers, and parts manufacturing",Other transportation equipment manufacturing,Furniture and related product manufacturing,Miscellaneous manufacturing,Nondurable goods manufacturing,Food manufacturing,Beverage and tobacco product manufacturing,Textile mills,Textile product mills,Apparel manufacturing,Leather and allied product manufacturing,Paper manufacturing,Printing and related support activities,Petroleum and coal products manufacturing,Chemical manufacturing,Plastics and rubber products manufacturing,Wholesale trade,Retail trade,Motor vehicle and parts dealers,Furniture and home furnishings stores,Electronics and appliance stores,Building material and garden equipment and supplies dealers,Food and beverage stores,Health and personal care stores,Gasoline stations,Clothing and clothing accessories stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Miscellaneous store retailers,Nonstore retailers,Transportation and warehousing,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Scenic and sightseeing transportation,Support activities for transportation,Couriers and messengers,Warehousing and storage,Information,Publishing industries (except Internet),Motion picture and sound recording industries,Broadcasting (except Internet),Internet publishing and broadcasting 8/,Telecommunications,"Data processing, hosting, and related services",Other information services 8/,Finance and insurance,Monetary Authorities-central bank,Credit intermediation and related activities,"Securities, commodity contracts, and other financial investments and related activities",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Real estate and rental and leasing,Real estate,Rental and leasing services,Lessors of nonfinancial intangible assets (except copyrighted works),"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,Administrative and support services,Waste management and remediation services,Educational services,Health care and social assistance,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Arts, entertainment, and recreation","Performing arts, spectator sports, and related industries","Museums, historical sites, and similar institutions","Amusement, gambling, and recreation industries",Accommodation and food services,Accommodation,Food services and drinking places,Other services (except government and government enterprises),Repair and maintenance,Personal and laundry services,"Religious, grantmaking, civic, professional, and similar organizations",Private households,Government and government enterprises,Federal civilian,Military,State and local,State government,Local government
35005,"Chaves, NM",6,2016,2357212,65282,36108,1340007,151041,86527,64514,108924,1297890,391030,668292,798074,218276,153762,323657,47273,276384,82410,1257597,981080,9784,993,(D),(D),184866,(D),(D),67182,5834,52418,10999,5994,35425,53352,4342,594,(D),(L),595,(D),(L),(L),238,(L),(D),(D),49010,43138,-62,(D),71,708,(D),(L),660,(D),1198,(D),50226,129955,35389,738,3909,10886,15367,6923,7594,4803,833,24553,13168,5792,51049,(D),994,313,17545,(D),(D),(L),16542,(D),(D),12647,(D),3076,1820,(NA),5273,(L),(D),37134,0,23018,3878,9901,337,22491,14768,(D),(D),51891,2544,27782,25697,2085,1584,178427,96950,(D),(D),33548,3377,526,570,2281,64065,6467,57598,41654,13421,11518,14813,1902,276517,23179,6567,246771,97266,149505
35006,"Cibola, NM",6,2016,739919,27487,26919,427624,54288,28758,25530,-5622,367714,105802,266403,311044,93970,68440,22610,-619,23229,-174,427798,256882,(D),(D),(L),(D),(D),1043,(D),(D),19850,8424,(D),3601,(D),4226,(D),2224,(L),(L),(D),55,(L),(L),0,(L),(D),(D),(D),0,0,0,0,0,0,0,(D),0,0,0,12653,30285,4480,(D),(D),(D),3965,1444,6541,(D),(D),8145,1824,1262,7616,(D),4681,(L),(D),(L),(D),0,561,642,0,(D),(D),0,0,(NA),(D),0,0,5915,0,4871,0,1043,(L),2033,(D),(D),(L),(D),(D),24383,22520,1863,(D),(D),35523,(D),4321,15675,394,(L),(D),(D),12526,3136,9390,(D),3107,(D),5149,120,170916,27369,1983,141564,31488,110076
35007,"Colfax, NM",6,2016,454548,12253,37097,244333,30855,17478,13377,-5785,207693,95447,151408,165532,48777,35400,30024,4582,25442,7586,236747,155643,(D),205,93,(D),5667,(D),(L),(D),3983,15828,5762,1843,8223,5086,4787,(D),(D),(L),(D),(L),0,(L),(L),(L),(D),(D),299,(D),0,0,0,(L),0,0,(D),(L),(L),(L),3682,25135,4717,(D),(D),2803,(D),(D),6572,674,(D),1857,1674,(D),4791,(L),2126,(L),439,(L),(D),0,(L),(D),(D),857,(D),(D),(D),(NA),(D),(L),(D),6955,0,4977,(D),(D),(L),3007,2319,634,54,7279,562,3461,(D),(D),(D),(D),7495,(D),4409,2640,910,(D),(D),337,33724,24112,9612,17918,1056,1251,(D),(D),81104,3772,944,76388,38236,38152
35009,"Curry, NM",6,2016,2113493,50280,42034,1529598,168845,75569,93276,-76727,1284026,369610,459857,991029,313030,219754,225539,159257,66282,192099,1337499,713797,(D),727,330,(D),(D),100,0,(D),10507,54051,(D),(D),33688,41208,11000,(D),(D),(L),3932,(D),0,(L),(L),(L),(D),(D),30208,29718,(L),0,(D),(L),(L),(L),179,(D),(D),(L),24827,82602,23655,(D),(D),7496,7912,7056,6512,2755,1054,16470,5491,(D),109219,(D),59553,128,19791,1738,(L),(L),24053,(D),(D),14585,(D),(D),(D),(NA),3866,-1084,739,27775,0,20813,1001,5938,(L),14761,10570,3916,275,35702,26243,18299,17287,1012,660,148061,62606,(D),(D),18041,1517,378,(L),1137,36922,4538,32384,41064,15801,10683,11664,2916,623702,61532,421871,140299,20643,119656
35011,"De Baca, NM",6,2016,72202,1793,40269,35538,4106,2664,1442,-595,30837,14901,26464,18561,5811,4369,11166,-1602,12768,1251,34287,25388,(D),113,51,(D),5791,3767,(L),2039,(D),(D),338,(D),916,(D),(D),0,0,(L),(L),(D),0,(L),(L),(L),(L),0,(D),(D),(L),(L),(L),(L),(L),0,0,0,0,0,(D),3498,(D),0,(D),(D),(D),(D),637,74,(L),(D),(D),58,(D),(L),1137,(L),(D),(L),(L),(L),(L),99,(L),(D),(D),(L),(L),(NA),(L),(L),(L),(D),0,(D),(L),(D),(L),(D),(D),0,0,(D),0,312,285,(L),197,2304,(D),(L),0,(D),(D),(L),(D),(L),(D),(D),(D),(D),968,(D),(D),(L),8899,606,141,8152,1436,6716
35013,"Doš Ana, NM",6,2016,7037142,214207,32852,4408575,526175,281886,244289,2763,3885163,1167047,1984932,2915062,863917,619628,629596,82267,547329,152759,4255816,2869495,48552,1872,850,45830,2298,563,(D),(D),45346,284919,68115,30628,186176,151024,93458,(D),-12531,10343,16962,2435,30036,(D),930,(D),1149,3276,57566,37127,1856,164,(D),2618,313,(D),(D),264,(D),4318,79920,274306,64393,5804,7089,23186,26412,18946,20329,12111,6139,63708,21629,4560,98273,(D),1679,724,42124,16238,240,(D),13438,(D),11291,33088,2703,(D),(D),(NA),19270,(D),(D),118101,0,68309,9937,39450,405,86519,56529,(D),(D),312385,3961,142798,132767,10031,25935,701768,389312,178008,38849,95599,81650,(D),(D),28716,240080,25022,215058,138572,38851,39960,48156,11605,1386321,413635,18086,954600,449959,504641
35015,"Eddy, NM",6,2016,2770237,57621,48077,2225033,254485,138359,116126,-189070,1781478,467720,521039,1528455,378723,262597,317855,6822,311033,23179,2201854,1896684,3961,149,68,3744,750691,337672,105813,307206,26967,168122,25508,34219,108395,103393,10901,(L),(D),(L),4049,(D),(D),(L),(L),(L),(L),(D),92492,10515,(D),(L),(D),(L),(L),(L),979,(D),(D),(D),55790,111423,30899,2244,2377,10699,13525,7055,9771,3233,(D),23771,6192,(D),96182,254,2433,811,80042,(D),269,57,6155,2810,(D),10473,(D),(D),1430,(NA),8107,(D),-407,34995,0,21935,(D),11464,(D),41159,(D),21945,(D),68049,9450,129058,(D),(D),9815,160100,50568,71419,25141,12972,2088,(D),(L),(D),64963,16157,48806,50005,19806,8661,19131,2407,305170,84438,4511,216221,32198,184023
35017,"Grant, NM",6,2016,1019994,28280,36068,535155,69462,39232,30230,-28747,436946,200351,382697,388773,119096,88866,27286,1464,25822,3576,531579,336649,(D),(L),(L),(D),(D),59,(D),(D),5737,21362,5576,4405,11381,3522,2482,(D),(D),(L),1105,(D),0,(L),(L),(L),(D),(D),1040,(D),(L),(L),(L),(L),(L),(L),514,(L),(D),(L),4976,34328,4684,931,650,2672,6028,2444,3066,334,(D),(D),715,1733,3926,(L),780,(L),(D),782,(L),(L),(D),1295,(D),6084,(D),(D),241,(NA),4764,(D),(D),8986,0,5491,(D),(D),(L),5347,3833,1416,98,(D),(D),6725,(D),(D),2111,49018,37574,(D),(D),(D),630,(D),0,(D),15688,3222,12466,16463,5363,4168,6214,718,194930,18267,2205,174458,65779,108679
35019,"Guadalupe, NM",6,2016,140560,4376,32121,69985,9454,5144,4310,227,60758,22743,57059,53297,14435,10125,2253,431,1822,2076,67909,46864,(D),(L),(L),(D),(L),(L),0,(L),(D),1487,415,(D),(D),(D),(D),0,(D),(L),0,0,0,0,0,0,0,0,(L),(L),0,0,0,(L),0,0,0,0,0,0,(D),8837,(D),0,(D),(D),(D),(L),5836,(L),0,(D),(D),(D),1877,(L),816,(L),372,(L),(L),0,663,(L),0,(D),(D),(L),(L),(NA),(D),(L),(L),(D),0,640,(L),(D),(L),(D),(D),(L),0,(D),0,(D),(D),(L),(L),10615,6885,(D),(D),549,(L),(L),0,(L),9955,6034,3921,1569,(D),(L),(D),0,21045,1630,304,19111,4431,14680
35021,"Harding, NM",6,2016,28409,665,42720,14070,1449,930,519,337,12958,8293,7158,7001,2376,1857,4693,552,4141,1946,12124,7225,(D),(L),(L),(D),2755,1792,(L),970,116,(D),(L),(D),(D),(D),(L),0,(L),(L),(L),(L),0,(L),(L),(L),(L),0,(D),0,0,0,0,0,0,0,0,0,(D),(L),(D),(D),(L),0,(L),(L),(D),(L),0,(L),0,(L),(D),(D),(L),0,0,(L),(L),(L),0,0,0,0,0,0,0,0,0,(NA),0,0,0,(L),0,(L),(L),(L),(L),(D),(D),(L),(L),(D),0,(L),(L),(L),(L),(D),(D),0,0,(D),(D),0,(D),0,(D),(D),(L),(D),487,504,(D),0,4899,682,52,4165,(D),(D)
