GeoFIPS,GeoName,Region,Year,Personal income (thousands of dollars),Population (persons) 2/,Per capita personal income (dollars),Earnings by place of work,Less: Contributions for government social insurance 3/,Employee and self-employed contributions for government social insurance,Employer contributions for government social insurance,Plus: Adjustment for residence 4/,Equals: Net earnings by place of residence,"Plus: Dividends, interest, and rent 5/",Plus: Personal current transfer receipts,Wages and salaries,Supplements to wages and salaries,Employer contributions for employee pension and insurance funds 6/,Proprietors' income 7/,Farm proprietors' income,Nonfarm proprietors' income,Farm earnings,Nonfarm earnings,Private nonfarm earnings,"Forestry, fishing, and related activities",Forestry and logging,"Fishing, hunting and trapping",Support activities for agriculture and forestry,"Mining, quarrying, and oil and gas extraction",Oil and gas extraction,Mining (except oil and gas),Support activities for mining,Utilities,Construction,Construction of buildings,Heavy and civil engineering construction,Specialty trade contractors,Manufacturing,Durable goods manufacturing,Wood product manufacturing,Nonmetallic mineral product manufacturing,Primary metal manufacturing,Fabricated metal product manufacturing,Machinery manufacturing,Computer and electronic product manufacturing,"Electrical equipment, appliance, and component manufacturing","Motor vehicles, bodies and trailers, and parts manufacturing",Other transportation equipment manufacturing,Furniture and related product manufacturing,Miscellaneous manufacturing,Nondurable goods manufacturing,Food manufacturing,Beverage and tobacco product manufacturing,Textile mills,Textile product mills,Apparel manufacturing,Leather and allied product manufacturing,Paper manufacturing,Printing and related support activities,Petroleum and coal products manufacturing,Chemical manufacturing,Plastics and rubber products manufacturing,Wholesale trade,Retail trade,Motor vehicle and parts dealers,Furniture and home furnishings stores,Electronics and appliance stores,Building material and garden equipment and supplies dealers,Food and beverage stores,Health and personal care stores,Gasoline stations,Clothing and clothing accessories stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Miscellaneous store retailers,Nonstore retailers,Transportation and warehousing,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Scenic and sightseeing transportation,Support activities for transportation,Couriers and messengers,Warehousing and storage,Information,Publishing industries (except Internet),Motion picture and sound recording industries,Broadcasting (except Internet),Internet publishing and broadcasting 8/,Telecommunications,"Data processing, hosting, and related services",Other information services 8/,Finance and insurance,Monetary Authorities-central bank,Credit intermediation and related activities,"Securities, commodity contracts, and other financial investments and related activities",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Real estate and rental and leasing,Real estate,Rental and leasing services,Lessors of nonfinancial intangible assets (except copyrighted works),"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,Administrative and support services,Waste management and remediation services,Educational services,Health care and social assistance,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Arts, entertainment, and recreation","Performing arts, spectator sports, and related industries","Museums, historical sites, and similar institutions","Amusement, gambling, and recreation industries",Accommodation and food services,Accommodation,Food services and drinking places,Other services (except government and government enterprises),Repair and maintenance,Personal and laundry services,"Religious, grantmaking, civic, professional, and similar organizations",Private households,Government and government enterprises,Federal civilian,Military,State and local,State government,Local government
41013,"Crook, OR",8,2016,827963,22570,36684,427524,56690,31549,25141,25147,395981,170306,261676,293870,72083,46942,61571,5521,56050,10724,416800,331395,(D),3415,860,(D),(D),(L),(D),(L),148,38697,13017,7529,18151,29004,27102,21498,(D),(D),2122,(D),(L),(L),(L),111,(D),(D),1902,(D),(L),(L),(D),(L),(L),(L),(L),(L),(D),(D),60158,18766,2969,(D),(D),1038,6625,(D),2143,524,(D),2423,736,215,26872,(L),995,(L),23005,(D),(L),(L),1438,769,(D),28981,(D),(D),338,(NA),1084,(D),(L),6118,0,3996,(D),(D),(L),7821,5593,(D),(D),11446,2670,7857,6553,1304,2377,39297,9656,(D),6447,(D),575,85,0,490,21586,10289,11297,20906,7878,5635,6823,570,85405,27343,1706,56356,9989,46367
41017,"Deschutes, OR",8,2016,8668102,181307,47809,5634883,690182,368249,321933,-21767,4922934,2056654,1688514,3551231,909186,587253,1174466,-9785,1184251,-1665,5636548,4823041,(D),9964,(D),14323,(D),-161,(D),-193,34477,669935,250044,49550,370341,335295,235438,37100,7863,(D),36231,13512,36534,6771,(D),24351,15847,24735,99857,16305,42265,56,(D),1156,(D),(D),6476,(D),17581,12204,207024,488662,104432,19602,21162,52562,79603,14499,22646,20650,27187,82901,26886,16532,99653,2679,6718,(L),45524,4856,(D),(L),17877,(D),(D),138421,79459,7216,34032,(NA),13988,2496,1230,180496,0,79294,43357,57110,735,234420,172849,(D),(D),491986,39987,235776,220301,15475,39514,982841,502144,(D),(D),(D),68342,15187,2882,50273,295376,82378,212998,250080,89863,71924,78046,10247,813507,88861,13981,710665,229244,481421
41029,"Jackson, OR",8,2016,9062145,216527,41852,5505664,710551,376349,334202,-30591,4764522,1974563,2323060,3692658,915027,580825,897979,9968,888011,35124,5470540,4687827,94636,27082,5497,62057,7123,(L),(D),(D),(D),362640,112774,36917,212949,490243,343184,124346,10913,(D),28135,25759,23591,(D),(D),(D),9389,24496,147059,64747,11068,-63,1670,6001,-61,(L),14004,1728,47444,565,(D),583453,101104,16580,18937,38027,89572,21523,25192,18006,19381,90082,29230,115819,237020,14780,3086,(L),130873,10131,(L),71,56936,17609,3543,95946,34689,5186,21890,(NA),26766,1923,5492,192133,0,101546,(D),62300,(D),156908,114750,41058,1100,261112,114610,174749,155362,19387,38829,1068523,571466,(D),111669,(D),72115,49113,1607,21395,255205,47856,207349,249126,84037,71092,81283,12714,782713,174374,16309,592030,72855,519175
41035,"Klamath, OR",8,2016,2394802,66443,36043,1333857,178940,92532,86408,24338,1179255,428633,786914,923122,253139,166731,157596,8918,148678,38896,1294961,969034,(D),6275,1626,(D),(D),(L),(D),(L),11308,71571,21720,5126,44725,111524,103073,84243,(D),(L),2124,8440,(D),(L),(L),105,5185,700,8451,6119,(D),(L),(D),(L),(L),(L),1081,(L),(D),(D),43317,113867,24917,2418,3299,10195,18934,2310,9598,3192,4704,25342,5343,3615,50935,(L),22278,(L),13187,1991,(D),(D),5949,(D),(D),8164,(D),(D),1522,(NA),2877,(L),(D),32118,0,14067,4264,13755,(L),34966,22983,11912,71,47473,25480,47044,(D),(D),9384,215989,62546,(D),24255,(D),4598,(D),(D),3585,65977,20191,45786,55738,17727,13711,21401,2899,325927,78204,14791,232932,33603,199329
41051,"Multnomah, OR",8,2016,41194678,799766,51508,39454920,4887998,2385453,2502545,-7591917,26975005,8113630,6106043,29282798,6582961,4080416,3589161,6105,3583056,35235,39419685,32783261,104807,(D),(D),37797,5507,(L),5417,(L),292100,2113440,753835,120228,1239377,2583151,1750160,(D),83589,267954,263644,137528,196284,39882,(D),455542,73187,143449,832991,378642,50859,857,9612,21423,19076,50033,145625,55954,55192,45718,2070726,2045559,326770,106980,92278,146566,382625,103371,86028,161326,99449,217929,134121,188116,1693769,325867,91466,(D),526269,78797,(D),5017,283277,(D),134598,1241459,598450,105292,136601,(NA),97089,221343,82684,2502962,(D),693481,421531,1380229,(D),634224,498920,133267,2037,4947815,2299879,1237715,1152792,84923,779603,4561846,2189588,1267667,471226,633365,581847,425607,34763,121477,1600167,269805,1330362,1486685,434800,406246,591335,54304,6636424,1439952,95677,5100795,362540,4738255
41061,"Union, OR",8,2016,959621,26087,36785,569717,77702,39162,38540,1437,493452,183218,282951,405352,113047,74507,51318,-1662,52980,5919,563798,430787,(D),(D),930,7384,(D),(L),(D),(L),(D),34994,14461,2582,17951,80458,79336,(D),(D),(L),(D),(D),(D),0,32524,(L),(D),(D),1122,(D),51,(L),(L),(L),(L),(L),(D),(L),(D),0,(D),49919,12407,1825,1285,3669,8508,2908,4375,698,647,10968,1591,1038,36525,(L),20601,(L),10423,(D),(L),(L),992,2495,(D),5376,(D),(D),424,(NA),2680,(D),0,13513,0,6238,(D),(D),(L),9671,(D),(D),(L),15342,5668,8398,(D),(D),(D),102067,36196,(D),11503,(D),3265,(D),(D),2354,16185,1980,14205,20601,6624,4582,8430,965,133011,20932,1936,110143,29504,80639
42003,"Allegheny, PA",2,2016,67145141,1225365,54796,57992384,6705810,3400374,3305436,-8110754,43175820,11713694,12255627,42913619,9859333,6553897,5219432,-1185,5220617,1595,57990789,52125419,2920,(D),(D),2499,331231,276847,3852,50532,426586,3218564,879783,443868,1894913,2932247,2143579,(D),100181,297134,359937,302439,377277,256035,(D),171666,43086,213916,788668,207827,27498,8510,28671,6930,246,21180,106667,150199,174667,56273,2567098,2800285,524530,102783,98529,197062,469581,243927,98446,165275,84437,332766,136919,346030,2085863,225823,131914,7834,509941,166513,(D),7300,160918,(D),136546,1429257,282749,97287,210418,(NA),456212,115274,267317,5008192,(D),2145893,951266,1887401,(D),1188474,926310,258500,3664,7750049,4339498,1860498,1747813,112685,2752754,8560186,4205027,2924550,770612,659997,1251174,899653,74585,276936,1526422,228887,1297535,2094121,637790,640994,750905,64432,5865370,1403011,139572,4322787,429320,3893467
44003,"Kent, RI",1,2016,9026063,164614,54832,5247830,690556,366131,324425,1410617,5967891,1398183,1659989,3806819,907298,582873,533713,-45,533758,825,5247005,4557717,(D),216,(D),(D),(D),(L),(D),227,(D),313943,55793,46176,211974,543157,312285,(D),(D),24320,95131,20417,51625,(D),-103,(D),21305,82072,230872,9833,(D),(D),2118,(D),(L),1701,19192,(D),185581,(D),(D),467372,111790,19630,19718,46530,62622,44885,20732,18701,11791,74908,17623,18442,190056,19279,3806,113,38826,18096,(L),(D),16413,(D),(D),110986,14544,(D),(D),(NA),75594,10101,1663,311784,0,145394,(D),147350,(D),138671,104008,(D),(D),435209,215091,174950,169728,5222,95976,728270,313316,(D),127762,(D),37934,(D),(D),(D),233259,(D),(D),195269,64643,(D),57653,(D),689288,71624,26583,591081,125487,465594
44007,"Providence, RI",1,2016,28280887,633673,44630,22388664,2855612,1503433,1352179,-2217287,17315765,4371980,6593142,16757491,3887130,2534951,1744043,-831,1744874,3476,22385188,19174486,5635,(D),3274,(D),9382,(D),(D),302,126559,1168138,322919,103404,741815,1516418,935276,(D),34495,77717,219727,91292,87732,41957,8114,(D),49822,308163,581142,121733,17856,71047,12048,(D),5087,67047,72036,(D),139619,70084,1050091,1111339,138630,26205,39421,62895,229897,177511,89669,79607,18781,124797,50722,73204,386902,(D),30596,851,157353,63274,(D),(D),40553,25348,63661,544232,109906,20390,47513,(NA),101105,245417,19901,2378740,0,564965,1047683,767889,-1797,294931,243593,49992,1346,1614099,1547053,999601,903391,96210,1106560,3567796,1426783,1394281,466273,280459,285993,105964,13934,166095,659375,53953,605422,801642,239325,286039,263424,12854,3210702,480242,110993,2619467,1000418,1619049
47155,"Sevier, TN",5,2016,3507799,96673,36285,2370475,265715,152066,113649,46073,2150833,497364,859602,1504761,354804,241155,510910,-4475,515385,-3761,2374236,2047514,(D),154,(L),(D),(D),(L),(D),(D),(D),137417,36519,18611,82287,92164,41869,2464,5273,(D),5177,1090,(D),(L),19393,(L),3213,1562,50295,23890,17800,(L),(D),(D),0,785,1138,443,4056,(D),50266,306808,33384,9031,5106,19881,47956,18835,23477,49084,10490,30588,40122,18854,(D),(D),561,-74,16958,969,(D),(D),2453,(D),(D),14457,4340,(D),(D),(NA),4495,2144,(D),65469,0,45248,(D),14965,(D),90878,82638,(D),(D),67588,41977,92401,91993,408,8407,138471,67404,(D),16252,(D),280580,154644,15026,110910,524381,231362,293019,107807,27739,31018,45224,3826,326722,30533,8672,287517,35818,251699
