State County Code,Year,WIND
01073,2015,3.165568406639006
02068,2015,1.9208629271137014
02090,2015,2.082224118811882
04003,2015,5.2062289506849355
04005,2015,4.704155210674157
04013,2015,3.1120020233873875
04017,2015,6.788789093150688
04019,2015,4.565984725398572
05119,2015,3.869115668493148
06005,2015,1.76411824931507
06007,2015,3.4251371928701966
06009,2015,2.4089383589041105
06011,2015,2.5344123305785122
06017,2015,3.0413003965909113
06019,2015,3.389016577876987
06021,2015,4.333883856353593
06025,2015,3.953081948540705
06027,2015,5.629229124725278
06029,2015,4.190461138604651
06031,2015,3.6068484638633307
06037,2015,4.077515379310346
06039,2015,3.7964710348675066
06043,2015,5.600147959854013
06047,2015,2.9248228109589034
06057,2015,2.056789612021858
06061,2015,3.937444890410959
06065,2015,4.938403332618027
06067,2015,3.6587165326305264
06069,2015,3.8003928219178063
06071,2015,6.852078452173907
06073,2015,3.3693402962298014
06077,2015,4.638343351326626
06079,2015,4.223487471267449
06083,2015,3.988460964225824
06085,2015,5.255858744505495
06089,2015,2.204082870090634
06099,2015,3.152771904011456
06101,2015,4.4828508125000015
06103,2015,8.950271744565217
06107,2015,3.2072382442002407
06109,2015,1.4230874054794533
06111,2015,4.170368901834855
06113,2015,4.799615378082187
08001,2015,3.648700649899398
08005,2015,7.3622586324435275
08031,2015,3.2869235275800723
08035,2015,4.492616550684933
08041,2015,3.0551426011080305
08045,2015,2.5192726071428577
08057,2015,6.133965026865669
08059,2015,4.644349024928771
08067,2015,1.6886892209944744
08069,2015,2.8402765059701505
08077,2015,4.656684973972602
08083,2015,5.243835033519557
08099,2015,6.3612420328767145
08103,2015,5.346637289041095
08123,2015,4.362217336088155
09001,2015,3.885763942607003
09003,2015,2.944869361643831
09005,2015,5.193764293956043
09007,2015,4.866868079452051
09009,2015,5.0220508560953245
09013,2015,2.1224875071225076
10001,2015,5.358150546268658
10003,2015,3.8910599843260187
10005,2015,3.218092069337444
11001,2015,5.453308757839725
12057,2015,4.633262564013841
12073,2015,1.256769435261709
12086,2015,5.3911295389049
12129,2015,6.190717366197184
13021,2015,3.396105418732786
13051,2015,2.862796979338843
13073,2015,1.9956647300275494
13077,2015,1.7500548842975205
13085,2015,1.6109654419354844
13089,2015,0.95882091184573
13097,2015,4.825446357340718
13121,2015,1.6096106129476584
13127,2015,2.677011768595044
13213,2015,5.095543038922147
13215,2015,1.7801069807162548
13223,2015,4.801156118457298
13245,2015,2.0991805013774103
13247,2015,1.091796658402204
15001,2015,7.160576927197807
15003,2015,3.951350640109893
16001,2015,4.229636363764045
16005,2015,6.290329580821921
16017,2015,3.3358650575342472
16023,2015,5.5134410028089915
16049,2015,3.5453562520547957
16055,2015,4.898557061016957
16057,2015,4.427409142465754
16059,2015,3.0280140439560457
16069,2015,4.238962828571431
16079,2015,1.954684178082192
16083,2015,7.149006846575339
17019,2015,8.628762216049378
17023,2015,3.9148861890410944
17031,2015,5.721316080428961
17115,2015,5.612654271468148
17143,2015,4.196144911242602
17163,2015,3.757033329639888
17201,2015,3.778474958791207
18003,2015,3.8220477368421046
18015,2015,8.061479167123277
18019,2015,4.184611310439562
18037,2015,4.846638084931508
18043,2015,3.812534832876713
18051,2015,3.880111005479452
18055,2015,5.165108108635097
18065,2015,5.6579728046875
18071,2015,5.294095111111103
18073,2015,8.690820779908679
18089,2015,6.946063071232876
18097,2015,4.262633777008315
18107,2015,7.581491506493503
18109,2015,4.143328147945209
18125,2015,5.033116561111114
18127,2015,7.51493816164384
18129,2015,4.930275129518067
18141,2015,4.198906800000001
18165,2015,5.483627052054793
18167,2015,3.339687379999999
18173,2015,4.946958910614525
18177,2015,3.845777364383564
18183,2015,5.37780080821918
19013,2015,3.189670535714285
19017,2015,6.056967355140182
19033,2015,2.922591780821919
19045,2015,2.5808613347222216
19085,2015,3.14586722196262
19103,2015,3.19870976923077
19113,2015,3.4134221657458537
19137,2015,3.297966251381214
19139,2015,2.879048653521125
19147,2015,4.8505232109589045
19153,2015,3.7812889279778417
19163,2015,3.370842998466262
19169,2015,4.017001176638174
19177,2015,4.612318729805014
19181,2015,1.6985349458128087
19193,2015,5.150200682191784
20209,2015,7.835482383561642
21013,2015,1.8106828657534235
21015,2015,1.4462070328767131
21019,2015,1.201593663013699
21029,2015,2.454544505791503
21043,2015,2.417029497222223
21047,2015,3.6478660493150685
21059,2015,3.334593950684933
21061,2015,3.020927802739726
21111,2015,3.684238447945208
21113,2015,3.5267480493150716
21139,2015,3.0400569945205476
21185,2015,3.1887430095238094
21193,2015,1.3801918465753429
21213,2015,3.1189716273972627
22005,2015,2.629178986301373
22033,2015,2.928750867123287
22047,2015,2.9567305013698637
22071,2015,3.0839489675925944
23003,2015,6.130336269736837
23009,2015,6.945476654676257
23019,2015,5.525011917808218
23031,2015,2.881519273480662
24003,2015,2.786935387850469
24005,2015,3.785465806406686
24013,2015,4.315136164383559
24015,2015,6.019526515068494
24019,2015,3.1065093945205513
24023,2015,4.016087652054796
24025,2015,2.9723569015544014
24027,2015,2.4259261150684908
24029,2015,4.73117089589041
24031,2015,1.8350319748603359
24033,2015,2.8758077537826683
24043,2015,5.621731010958904
25025,2015,3.535318120943951
26005,2015,4.508775559228654
26017,2015,4.240219572602738
26021,2015,3.933458917808221
26027,2015,5.759560888888887
26033,2015,5.373543241095892
26049,2015,3.866205956104255
26063,2015,6.791576416438355
26065,2015,5.053741955678672
26067,2015,4.03723741369863
26077,2015,4.078045316804409
26081,2015,4.5299239410958965
26091,2015,4.719122213296402
26099,2015,4.234798012328769
