State County Code,Year,TEMP
01073,2012,10.567297511904764
02068,2012,25.851814480874303
02090,2012,18.42561418025751
04003,2012,61.99618484699453
04005,2012,54.288121289617514
04013,2012,75.0632815245902
04017,2012,56.58607739344262
04019,2012,69.92342880673408
04021,2012,73.46343394428972
05119,2012,64.84482162021855
06005,2012,59.67520365131582
06007,2012,60.54236187797146
06009,2012,58.97061171311478
06011,2012,63.361691931343266
06015,2012,52.029803809677446
06017,2012,56.605122612226246
06019,2012,64.51430834287021
06021,2012,62.13878988251367
06023,2012,54.0872960325444
06025,2012,76.56377939072462
06027,2012,63.974152497148424
06029,2012,66.0680501659767
06031,2012,63.70164242961165
06033,2012,55.192754118169375
06037,2012,63.15994132037098
06039,2012,62.536749956057044
06041,2012,52.962838635327614
06043,2012,60.54179692528741
06047,2012,63.05626146448081
06051,2012,47.118893884615424
06053,2012,55.60866546605508
06057,2012,70.74841486413042
06059,2012,63.36624775273223
06061,2012,65.63640318260867
06065,2012,69.85606597549184
06067,2012,62.487567019263466
06069,2012,57.5754502366621
06071,2012,63.67908824123056
06073,2012,62.852945990095684
06077,2012,62.49433962477225
06079,2012,57.81329880863928
06083,2012,58.23446807510895
06085,2012,58.82922006111114
06087,2012,55.702904153386456
06089,2012,44.319209559228646
06099,2012,63.019550076607395
06101,2012,63.420509343490295
06103,2012,72.46331522826087
06107,2012,61.23288375336328
06109,2012,59.77479490983602
06111,2012,62.18530369794981
06113,2012,62.16962734671532
08001,2012,54.76700743767314
08005,2012,53.838483213406256
08031,2012,55.85394848099172
08035,2012,52.95389557692307
08045,2012,47.860519841317384
08057,2012,39.67564544535519
08059,2012,51.54141199384824
08067,2012,48.84541940896614
08069,2012,45.876459833519505
08077,2012,59.10013693989076
08081,2012,42.39584024660637
08083,2012,52.93121299452053
08099,2012,55.65589081095884
08103,2012,49.63081714480872
08123,2012,57.12832302265374
09001,2012,56.0561325307462
09003,2012,54.571378461095094
09005,2012,48.559934399999975
09007,2012,54.75275671348315
09009,2012,54.721898811949025
09011,2012,53.742138445070445
09013,2012,50.99927623314609
10003,2012,58.20922050415514
11001,2012,59.83595539076926
12057,2012,71.79457355464483
12086,2012,74.08173516524218
12103,2012,73.14933278142077
13073,2012,64.29056665846994
13089,2012,63.402711001369845
13213,2012,58.17365609289616
13215,2012,66.24488422404364
13223,2012,61.568575540983616
13245,2012,66.05933847267764
13247,2012,62.118230013661226
15001,2012,58.818334646174854
15003,2012,75.7608102958904
16001,2012,53.207736095628434
16005,2012,50.82914820661159
16009,2012,45.676684877049155
16017,2012,46.70211904383561
16023,2012,45.78763785245904
16049,2012,50.15266541520468
16055,2012,48.743896282904686
16059,2012,45.67539997267762
16069,2012,54.174464400284855
16079,2012,46.79288056557377
16083,2012,50.516046762295076
17019,2012,55.120202421487576
17023,2012,56.527648491803276
17031,2012,54.45850539385479
17097,2012,52.385606065573754
17163,2012,59.2131453616439
18003,2012,53.85840000831018
18015,2012,53.97590055056181
18019,2012,56.99920131693991
18065,2012,54.86561455191263
18071,2012,56.6738387786885
18073,2012,53.662866787709525
18089,2012,53.1693737437037
18091,2012,54.21838333606556
18097,2012,56.97294807468118
18127,2012,54.1443674836066
18129,2012,60.203221833846186
18141,2012,54.066045420765015
18163,2012,58.16512108241757
18173,2012,58.50595960928962
18177,2012,54.56748694262297
18183,2012,38.45763685294118
19013,2012,54.830519714285714
19045,2012,55.24726565738155
19103,2012,54.781415640884
19113,2012,52.82323098907105
19137,2012,54.235449931694035
19139,2012,54.56791184210527
19147,2012,50.69092666295266
19153,2012,55.927432286885264
19163,2012,54.263179818432
19177,2012,56.13985133333332
21013,2012,60.29929324236647
21015,2012,54.97131147267756
21019,2012,60.1347611038251
21029,2012,59.70080339890711
21043,2012,56.86559620491795
21059,2012,63.628388762295074
21061,2012,60.21869084426234
21111,2012,60.303339762048225
21113,2012,59.077266775342444
21139,2012,60.85205538797813
21157,2012,61.626979314207595
21193,2012,57.80292091530058
21213,2012,61.11432861475409
22033,2012,69.55065925669442
22047,2012,68.3906730670391
22095,2012,68.38346543016759
23003,2012,43.37595031147542
23005,2012,48.43428132513663
23009,2012,50.135033728102215
23013,2012,40.72139786451614
24003,2012,57.96491349019604
24005,2012,57.97011883852688
24013,2012,55.339624345303875
24015,2012,56.06972985515319
24019,2012,63.0797881573034
24023,2012,49.26895029512892
24025,2012,56.44399420476865
24029,2012,57.32282701939057
24031,2012,56.82863625348191
24033,2012,58.132509887303826
24043,2012,55.709338147541025
25001,2012,53.21288709289622
25005,2012,41.7860169661017
25009,2012,52.63453027564099
25013,2012,52.81367801912568
25015,2012,50.02067474858757
25021,2012,52.52762433879781
25025,2012,54.04425468715845
25027,2012,50.919480225409785
26005,2012,51.99063234972679
26017,2012,51.15396415300549
26021,2012,52.601860628415345
26027,2012,53.03544263911842
26033,2012,46.539611330601076
26049,2012,51.695066261285945
26063,2012,49.42667171311472
26065,2012,52.548746839541586
26067,2012,50.6558840765027
26077,2012,52.35083062637362
26081,2012,51.82653563424657
26091,2012,52.74204058196727
26099,2012,52.391569131506884
26101,2012,49.339822840659295
26105,2012,50.15845997191014
26113,2012,44.8006958677686
26121,2012,51.15670016939886
26125,2012,52.94148589849625
26139,2012,51.98596261748633
26147,2012,52.13252730327871
26153,2012,45.777436030054666
26161,2012,53.67612578021976
26163,2012,53.48565869193835
27003,2012,49.02719672131141
27037,2012,46.37478058196717
27137,2012,42.45776091643455
27163,2012,11.525546544262296
28049,2012,67.11695668681315
29021,2012,56.86352302588233
29037,2012,59.91832342191782
